"","V1","V2"
"V1","0.0","0.8"
"V2","0.0010000","0.7958339"
"V3","0.0020000","0.7917191"
"V4","0.0030000","0.7876547"
"V5","0.0040000","0.7836399"
"V6","0.0050000","0.7796738"
"V7","0.0060000","0.7757559"
"V8","0.0070000","0.7718851"
"V9","0.0080000","0.7680609"
"V10","0.0090000","0.7642825"
"V11","0.0100000","0.7605492"
"V12","0.0110000","0.7568603"
"V13","0.0120000","0.7532152"
"V14","0.0130000","0.7496133"
"V15","0.0140000","0.7460539"
"V16","0.0150000","0.7425365"
"V17","0.0160000","0.7390605"
"V18","0.0170000","0.7356254"
"V19","0.0180000","0.7322306"
"V20","0.0190000","0.7288757"
"V21","0.0200000","0.7255601"
"V22","0.0210000","0.7222834"
"V23","0.022000","0.719045"
"V24","0.0230000","0.7158447"
"V25","0.024000","0.712682"
"V26","0.0250000","0.7095563"
"V27","0.0260000","0.7064675"
"V28","0.027000","0.703415"
"V29","0.0280000","0.7003985"
"V30","0.0290000","0.6974176"
"V31","0.030000","0.694472"
"V32","0.0310000","0.6915614"
"V33","0.0320000","0.6886854"
"V34","0.0330000","0.6858438"
"V35","0.0340000","0.6830362"
"V36","0.0350000","0.6802623"
"V37","0.036000","0.677522"
"V38","0.0370000","0.6748148"
"V39","0.0380000","0.6721407"
"V40","0.0390000","0.6694992"
"V41","0.0400000","0.6668901"
"V42","0.0410000","0.6643134"
"V43","0.0420000","0.6617687"
"V44","0.0430000","0.6592558"
"V45","0.0440000","0.6567745"
"V46","0.0450000","0.6543246"
"V47","0.046000","0.651906"
"V48","0.0470000","0.6495184"
"V49","0.0480000","0.6471615"
"V50","0.0490000","0.6448354"
"V51","0.0500000","0.6425396"
"V52","0.0510000","0.6402742"
"V53","0.0520000","0.6380388"
"V54","0.0530000","0.6358333"
"V55","0.0540000","0.6336575"
"V56","0.0550000","0.6315113"
"V57","0.0560000","0.6293945"
"V58","0.0570000","0.6273069"
"V59","0.0580000","0.6252484"
"V60","0.0590000","0.6232188"
"V61","0.060000","0.621218"
"V62","0.0610000","0.6192457"
"V63","0.062000","0.617302"
"V64","0.0630000","0.6153864"
"V65","0.064000","0.613499"
"V66","0.0650000","0.6116394"
"V67","0.0660000","0.6098076"
"V68","0.0670000","0.6080034"
"V69","0.0680000","0.6062267"
"V70","0.0690000","0.6044771"
"V71","0.0700000","0.6027546"
"V72","0.071000","0.601059"
"V73","0.0720000","0.5993901"
"V74","0.0730000","0.5977476"
"V75","0.0740000","0.5961315"
"V76","0.0750000","0.5945414"
"V77","0.0760000","0.5929771"
"V78","0.0770000","0.5914385"
"V79","0.0780000","0.5899254"
"V80","0.0790000","0.5884374"
"V81","0.0800000","0.5869744"
"V82","0.0810000","0.5855362"
"V83","0.0820000","0.5841224"
"V84","0.0830000","0.5827329"
"V85","0.0840000","0.5813674"
"V86","0.0850000","0.5800257"
"V87","0.0860000","0.5787075"
"V88","0.0870000","0.5774125"
"V89","0.0880000","0.5761404"
"V90","0.0890000","0.5748911"
