"","V1","V2"
"V1","0.0","0.1"
"V2","0.0010000","0.1000007"
"V3","0.0020000","0.1000013"
"V4","0.0030000","0.1000017"
"V5","0.0040000","0.1000021"
"V6","0.0050000","0.1000022"
"V7","0.0060000","0.1000023"
"V8","0.0070000","0.1000022"
"V9","0.0080000","0.1000021"
"V10","0.0090000","0.1000018"
"V11","0.0100000","0.1000014"
"V12","0.011000","0.100001"
"V13","0.0120000","0.1000005"
"V14","0.01300000","0.09999993"
"V15","0.01400000","0.09999932"
"V16","0.01500000","0.09999868"
"V17","0.01600000","0.09999802"
"V18","0.01700000","0.09999737"
"V19","0.01800000","0.09999672"
"V20","0.01900000","0.09999611"
"V21","0.02000000","0.09999555"
"V22","0.02100000","0.09999505"
"V23","0.02200000","0.09999464"
"V24","0.02300000","0.09999434"
"V25","0.02400000","0.09999416"
"V26","0.02500000","0.09999414"
"V27","0.02600000","0.09999428"
"V28","0.02700000","0.09999462"
"V29","0.02800000","0.09999518"
"V30","0.02900000","0.09999598"
"V31","0.03000000","0.09999705"
"V32","0.03100000","0.09999842"
"V33","0.0320000","0.1000001"
"V34","0.0330000","0.1000021"
"V35","0.0340000","0.1000045"
"V36","0.0350000","0.1000073"
"V37","0.0360000","0.1000105"
"V38","0.0370000","0.1000142"
"V39","0.0380000","0.1000183"
"V40","0.039000","0.100023"
"V41","0.0400000","0.1000282"
"V42","0.041000","0.100034"
"V43","0.0420000","0.1000403"
"V44","0.0430000","0.1000473"
"V45","0.0440000","0.1000549"
"V46","0.0450000","0.1000632"
"V47","0.0460000","0.1000723"
"V48","0.047000","0.100082"
"V49","0.0480000","0.1000926"
"V50","0.0490000","0.1001039"
"V51","0.050000","0.100116"
"V52","0.051000","0.100129"
"V53","0.0520000","0.1001428"
"V54","0.0530000","0.1001576"
"V55","0.0540000","0.1001733"
"V56","0.0550000","0.1001899"
"V57","0.0560000","0.1002076"
"V58","0.0570000","0.1002262"
"V59","0.0580000","0.1002459"
"V60","0.0590000","0.1002667"
"V61","0.0600000","0.1002886"
"V62","0.0610000","0.1003115"
"V63","0.0620000","0.1003357"
"V64","0.063000","0.100361"
"V65","0.0640000","0.1003875"
"V66","0.0650000","0.1004152"
"V67","0.0660000","0.1004441"
"V68","0.0670000","0.1004743"
"V69","0.0680000","0.1005058"
"V70","0.0690000","0.1005386"
"V71","0.0700000","0.1005727"
"V72","0.0710000","0.1006082"
"V73","0.0720000","0.1006451"
"V74","0.0730000","0.1006833"
"V75","0.0740000","0.1007229"
