"","V1","V2"
"V1","0.0","0.8"
"V2","0.0010000","0.7958327"
"V3","0.0020000","0.7917144"
"V4","0.003000","0.787644"
"V5","0.0040000","0.7836207"
"V6","0.0050000","0.7796436"
"V7","0.0060000","0.7757119"
"V8","0.0070000","0.7718247"
"V9","0.0080000","0.7679812"
"V10","0.0090000","0.7641807"
"V11","0.0100000","0.7604222"
"V12","0.0110000","0.7567052"
"V13","0.0120000","0.7530289"
"V14","0.0130000","0.7493925"
"V15","0.0140000","0.7457954"
"V16","0.0150000","0.7422369"
"V17","0.0160000","0.7387163"
"V18","0.017000","0.735233"
"V19","0.0180000","0.7317864"
"V20","0.0190000","0.7283758"
"V21","0.0200000","0.7250007"
"V22","0.0210000","0.7216604"
"V23","0.0220000","0.7183545"
"V24","0.0230000","0.7150822"
"V25","0.0240000","0.7118431"
"V26","0.0250000","0.7086367"
"V27","0.0260000","0.7054625"
"V28","0.0270000","0.7023198"
"V29","0.0280000","0.6992083"
"V30","0.0290000","0.6961274"
"V31","0.0300000","0.6930767"
"V32","0.0310000","0.6900557"
"V33","0.032000","0.687064"
"V34","0.0330000","0.6841011"
"V35","0.0340000","0.6811665"
"V36","0.0350000","0.6782599"
"V37","0.0360000","0.6753808"
"V38","0.0370000","0.6725288"
"V39","0.0380000","0.6697036"
"V40","0.0390000","0.6669046"
"V41","0.0400000","0.6641316"
"V42","0.0410000","0.6613842"
"V43","0.0420000","0.6586621"
"V44","0.0430000","0.6559647"
"V45","0.0440000","0.6532919"
"V46","0.0450000","0.6506432"
"V47","0.0460000","0.6480183"
"V48","0.0470000","0.6454169"
"V49","0.0480000","0.6428387"
"V50","0.0490000","0.6402833"
"V51","0.0500000","0.6377504"
"V52","0.0510000","0.6352398"
"V53","0.0520000","0.6327511"
"V54","0.0530000","0.6302841"
"V55","0.0540000","0.6278383"
"V56","0.0550000","0.6254137"
"V57","0.0560000","0.6230098"
"V58","0.0570000","0.6206264"
"V59","0.0580000","0.6182633"
"V60","0.0590000","0.6159201"
"V61","0.0600000","0.6135967"
"V62","0.0610000","0.6112927"
"V63","0.062000","0.609008"
"V64","0.0630000","0.6067422"
"V65","0.0640000","0.6044952"
"V66","0.0650000","0.6022667"
"V67","0.0660000","0.6000565"
"V68","0.0670000","0.5978643"
"V69","0.06800","0.59569"
"V70","0.0690000","0.5935332"
"V71","0.0700000","0.5913939"
"V72","0.0710000","0.5892718"
"V73","0.0720000","0.5871666"
"V74","0.0730000","0.5850783"
"V75","0.0740000","0.5830065"
"V76","0.0750000","0.5809511"
"V77","0.0760000","0.5789119"
"V78","0.0770000","0.5768886"
"V79","0.0780000","0.5748812"
"V80","0.0790000","0.5728894"
"V81","0.0800000","0.5709131"
"V82","0.081000","0.568952"
"V83","0.082000","0.567006"
"V84","0.083000","0.565075"
"V85","0.0840000","0.5631587"
"V86","0.085000","0.561257"
"V87","0.0860000","0.5593697"
"V88","0.0870000","0.5574967"
"V89","0.0880000","0.5556378"
"V90","0.0890000","0.5537928"
"V91","0.0900000","0.5519617"
"V92","0.0910000","0.5501442"
"V93","0.0920000","0.5483402"
"V94","0.0930000","0.5465495"
"V95","0.0940000","0.5447721"
"V96","0.0950000","0.5430078"
"V97","0.0960000","0.5412564"
"V98","0.0970000","0.5395178"
"V99","0.0980000","0.5377918"
"V100","0.0990000","0.5360784"
"V101","0.1000000","0.5343774"
"V102","0.1010000","0.5326887"
"V103","0.1020000","0.5310121"
"V104","0.1030000","0.5293475"
"V105","0.1040000","0.5276948"
"V106","0.1050000","0.5260539"
"V107","0.1060000","0.5244247"
"V108","0.1070000","0.5228069"
"V109","0.1080000","0.5212006"
"V110","0.1090000","0.5196056"
"V111","0.1100000","0.5180218"
"V112","0.1110000","0.5164491"
"V113","0.1120000","0.5148874"
"V114","0.1130000","0.5133365"
"V115","0.1140000","0.5117964"
"V116","0.1150000","0.5102669"
"V117","0.116000","0.508748"
"V118","0.1170000","0.5072395"
"V119","0.1180000","0.5057414"
"V120","0.1190000","0.5042536"
"V121","0.1200000","0.5027759"
"V122","0.1210000","0.5013082"
"V123","0.1220000","0.4998505"
"V124","0.1230000","0.4984027"
"V125","0.1240000","0.4969647"
"V126","0.1250000","0.4955364"
"V127","0.1260000","0.4941177"
"V128","0.1270000","0.4927084"
"V129","0.1280000","0.4913086"
"V130","0.1290000","0.4899182"
"V131","0.130000","0.488537"
"V132","0.131000","0.487165"
"V133","0.132000","0.485802"
"V134","0.1330000","0.4844481"
"V135","0.1340000","0.4831031"
"V136","0.1350000","0.4817669"
"V137","0.1360000","0.4804395"
"V138","0.1370000","0.4791208"
"V139","0.1380000","0.4778107"
"V140","0.1390000","0.4765091"
"V141","0.140000","0.475216"
"V142","0.1410000","0.4739313"
"V143","0.1420000","0.4726548"
"V144","0.1430000","0.4713867"
"V145","0.1440000","0.4701267"
"V146","0.1450000","0.4688748"
"V147","0.1460000","0.4676309"
"V148","0.147000","0.466395"
"V149","0.148000","0.465167"
"V150","0.1490000","0.4639469"
"V151","0.1500000","0.4627345"
"V152","0.1510000","0.4615298"
"V153","0.1520000","0.4603328"
"V154","0.1530000","0.4591433"
"V155","0.1540000","0.4579614"
"V156","0.1550000","0.4567869"
"V157","0.1560000","0.4556198"
"V158","0.15700","0.45446"
"V159","0.1580000","0.4533075"
"V160","0.1590000","0.4521622"
"V161","0.1600000","0.4510241"
"V162","0.161000","0.449893"
"V163","0.1620000","0.4487691"
"V164","0.1630000","0.4476521"
"V165","0.164000","0.446542"
"V166","0.1650000","0.4454389"
"V167","0.1660000","0.4443425"
"V168","0.1670000","0.4432529"
"V169","0.1680000","0.4421701"
"V170","0.1690000","0.4410939"
"V171","0.1700000","0.4400243"
"V172","0.1710000","0.4389613"
"V173","0.1720000","0.4379048"
"V174","0.1730000","0.4368548"
"V175","0.1740000","0.4358111"
"V176","0.1750000","0.4347739"
"V177","0.1760000","0.4337429"
"V178","0.1770000","0.4327183"
"V179","0.1780000","0.4316998"
"V180","0.1790000","0.4306875"
"V181","0.1800000","0.4296814"
"V182","0.1810000","0.4286813"
"V183","0.1820000","0.4276873"
"V184","0.1830000","0.4266993"
"V185","0.1840000","0.4257172"
"V186","0.185000","0.424741"
"V187","0.1860000","0.4237707"
"V188","0.1870000","0.4228063"
"V189","0.1880000","0.4218476"
"V190","0.1890000","0.4208946"
"V191","0.1900000","0.4199473"
"V192","0.1910000","0.4190057"
"V193","0.1920000","0.4180698"
