"","V1","V2","V3"
"V140","0.1390000","0.6425374","0.6692299"
"V141","0.1400000","0.6402443","0.6677589"
"V142","0.1410000","0.6379629","0.6661790"
"V143","0.1420000","0.6357074","0.6645125"
"V144","0.1430000","0.6334873","0.6627807"
"V145","0.1440000","0.6313073","0.6610038"
"V146","0.1450000","0.6291670","0.6592012"
"V147","0.1460000","0.6270613","0.6573912"
"V148","0.1470000","0.6249802","0.6555914"
"V149","0.1480000","0.6229088","0.6538183"
"V150","0.1490000","0.6208273","0.6520874"
"V151","0.1500000","0.6187146","0.6504127"
"V152","0.1510000","0.6165658","0.6487845"
"V153","0.1520000","0.6143833","0.6471750"
"V154","0.1530000","0.6121716","0.6455591"
"V155","0.1540000","0.6099371","0.6439148"
"V156","0.1550000","0.6076888","0.6422232"
"V157","0.1560000","0.6054375","0.6404685"
"V158","0.1570000","0.6031964","0.6386380"
"V159","0.1580000","0.6009808","0.6367220"
"V160","0.1590000","0.5988082","0.6347140"
"V161","0.1600000","0.5966981","0.6326105"
"V162","0.1610000","0.5946714","0.6304101"
"V163","0.1620000","0.5927324","0.6281286"
"V164","0.1630000","0.5908722","0.6258058"
"V165","0.1640000","0.5890808","0.6234780"
"V166","0.1650000","0.5873482","0.6211761"
"V167","0.1660000","0.5856638","0.6189262"
"V168","0.1670000","0.5840171","0.6167490"
"V169","0.1680000","0.5823969","0.6146604"
"V170","0.169000","0.580792","0.612671"
"V171","0.1700000","0.5791906","0.6107863"
"V172","0.171000","0.577581","0.609007"
"V173","0.1720000","0.5759508","0.6073304"
"V174","0.1730000","0.5743030","0.6057375"
"V175","0.1740000","0.5726572","0.6041819"
"V176","0.1750000","0.5710309","0.6026220"
"V177","0.1760000","0.5694387","0.6010222"
"V178","0.1770000","0.5678925","0.5993535"
"V179","0.1780000","0.5664011","0.5975931"
"V180","0.1790000","0.5649704","0.5957246"
"V181","0.1800000","0.5636035","0.5937377"
"V182","0.1810000","0.5623006","0.5916287"
"V183","0.1820000","0.5610591","0.5893999"
"V184","0.1830000","0.5598753","0.5870579"
"V185","0.1840000","0.5587294","0.5846323"
"V186","0.1850000","0.5575811","0.5821806"
"V187","0.1860000","0.5563956","0.5797556"
"V188","0.1870000","0.5551440","0.5774045"
"V189","0.1880000","0.5538035","0.5751687"
"V190","0.1890000","0.5523572","0.5730841"
"V191","0.1900000","0.5507944","0.5711807"
"V192","0.1910000","0.5491106","0.5694831"
"V193","0.1920000","0.5473069","0.5680100"
"V194","0.1930000","0.5453908","0.5667746"
"V195","0.1940000","0.5433719","0.5657840"
"V196","0.1950000","0.5412856","0.5650119"
"V197","0.1960000","0.5391871","0.5644119"
"V198","0.197000","0.537124","0.563939"
"V199","0.1980000","0.5351362","0.5635494"
"V200","0.1990000","0.5332557","0.5632005"
"V201","0.2000000","0.5315066","0.5628514"
"V202","0.2010000","0.5299053","0.5624622"
"V203","0.2020000","0.5284603","0.5619947"
"V204","0.2030000","0.5271724","0.5614117"
"V205","0.2040000","0.5260346","0.5606777"
"V206","0.2050000","0.5250367","0.5597668"
"V207","0.2060000","0.5241298","0.5586836"
"V208","0.2070000","0.5232521","0.5574405"
"V209","0.2080000","0.5223500","0.5560521"
"V210","0.2090000","0.5213776","0.5545349"
