"","V1","V2","V3"
"V1","0","1","1"
"V2","0.0010000","0.9968475","0.9968475"
"V3","0.0020000","0.9937078","0.9937078"
"V4","0.0030000","0.9905808","0.9905807"
"V5","0.0040000","0.9874665","0.9874661"
"V6","0.0050000","0.9843647","0.9843640"
"V7","0.0060000","0.9812755","0.9812742"
"V8","0.0070000","0.9781988","0.9781966"
"V9","0.0080000","0.9751345","0.9751312"
"V10","0.0090000","0.9720825","0.9720778"
"V11","0.0100000","0.9690428","0.9690365"
"V12","0.0110000","0.9660154","0.9660069"
"V13","0.0120000","0.9630001","0.9629892"
"V14","0.0130000","0.9599970","0.9599832"
"V15","0.0140000","0.9570059","0.9569888"
"V16","0.0150000","0.9540268","0.9540060"
"V17","0.0160000","0.9510597","0.9510346"
"V18","0.0170000","0.9481045","0.9480746"
"V19","0.018000","0.945161","0.945126"
"V20","0.0190000","0.9422294","0.9421885"
"V21","0.0200000","0.9393094","0.9392623"
"V22","0.0210000","0.9364011","0.9363472"
"V23","0.0220000","0.9335044","0.9334431"
"V24","0.0230000","0.9306192","0.9305499"
"V25","0.0240000","0.9277454","0.9276677"
"V26","0.0250000","0.9248831","0.9247963"
"V27","0.0260000","0.9220320","0.9219357"
"V28","0.0270000","0.9191923","0.9190859"
"V29","0.0280000","0.9163638","0.9162467"
"V30","0.0290000","0.9135464","0.9134182"
"V31","0.0300000","0.9107402","0.9106002"
"V32","0.0310000","0.9079449","0.9077928"
"V33","0.0320000","0.9051606","0.9049958"
"V34","0.0330000","0.9023872","0.9022093"
"V35","0.0340000","0.8996246","0.8994332"
"V36","0.0350000","0.8968728","0.8966675"
"V37","0.0360000","0.8941316","0.8939121"
"V38","0.0370000","0.8914011","0.8911670"
"V39","0.0380000","0.8886812","0.8884322"
"V40","0.0390000","0.8859717","0.8857076"
"V41","0.0400000","0.8832727","0.8829932"
"V42","0.041000","0.880584","0.880289"
"V43","0.0420000","0.8779056","0.8775949"
"V44","0.0430000","0.8752374","0.8749109"
"V45","0.0440000","0.8725794","0.8722371"
"V46","0.0450000","0.8699314","0.8695733"
"V47","0.0460000","0.8672934","0.8669196"
"V48","0.0470000","0.8646654","0.8642759"
"V49","0.0480000","0.8620472","0.8616423"
"V50","0.0490000","0.8594388","0.8590187"
"V51","0.0500000","0.8568401","0.8564050"
"V52","0.0510000","0.8542511","0.8538014"
"V53","0.0520000","0.8516716","0.8512078"
"V54","0.0530000","0.8491016","0.8486241"
"V55","0.0540000","0.8465410","0.8460504"
"V56","0.0550000","0.8439898","0.8434867"
"V57","0.0560000","0.8414478","0.8409329"
"V58","0.0570000","0.8389151","0.8383891"
"V59","0.0580000","0.8363914","0.8358552"
"V60","0.0590000","0.8338768","0.8333312"
"V61","0.0600000","0.8313712","0.8308172"
"V62","0.0610000","0.8288744","0.8283132"
"V63","0.0620000","0.8263865","0.8258191"
"V64","0.0630000","0.8239073","0.8233350"
"V65","0.0640000","0.8214368","0.8208608"
"V66","0.0650000","0.8189748","0.8183966"
"V67","0.0660000","0.8165214","0.8159423"
"V68","0.0670000","0.8140763","0.8134980"
"V69","0.0680000","0.8116397","0.8110637"
"V70","0.0690000","0.8092113","0.8086393"
"V71","0.0700000","0.8067911","0.8062249"
"V72","0.0710000","0.8043791","0.8038205"
"V73","0.0720000","0.8019751","0.8014259"
"V74","0.0730000","0.7995792","0.7990414"
"V75","0.0740000","0.7971911","0.7966668"
"V76","0.0750000","0.7948109","0.7943021"
"V77","0.0760000","0.7924385","0.7919474"
"V78","0.0770000","0.7900737","0.7896026"
"V79","0.0780000","0.7877166","0.7872677"
"V80","0.0790000","0.7853671","0.7849428"
"V81","0.0800000","0.7830250","0.7826278"
"V82","0.0810000","0.7806904","0.7803227"
"V83","0.0820000","0.7783631","0.7780275"
