"","V1","V2"
"V1","0","3"
"V2","0.001000","2.999222"
"V3","0.002000","3.003691"
"V4","0.003000","3.012848"
"V5","0.004000","3.025809"
"V6","0.005000","3.041433"
"V7","0.006000","3.058406"
"V8","0.007000","3.075335"
"V9","0.008000","3.090847"
"V10","0.009000","3.103688"
"V11","0.010000","3.112805"
"V12","0.011000","3.117418"
"V13","0.012000","3.117065"
"V14","0.013000","3.111624"
"V15","0.014000","3.101305"
"V16","0.015000","3.086626"
"V17","0.016000","3.068354"
"V18","0.017000","3.047441"
"V19","0.018000","3.024936"
"V20","0.019000","3.001909"
"V21","0.020000","2.979359"
"V22","0.021000","2.958144"
"V23","0.022000","2.938924"
"V24","0.023000","2.922115"
"V25","0.024000","2.907877"
"V26","0.025000","2.896112"
"V27","0.026000","2.886492"
"V28","0.027000","2.878501"
"V29","0.02800","2.87149"
"V30","0.029000","2.864744"
"V31","0.03000","2.85755"
"V32","0.031000","2.849258"
"V33","0.03200","2.83934"
"V34","0.033000","2.827432"
"V35","0.034000","2.813359"
"V36","0.035000","2.797144"
"V37","0.036000","2.779002"
"V38","0.037000","2.759311"
"V39","0.038000","2.738576"
"V40","0.039000","2.717384"
"V41","0.040000","2.696346"
"V42","0.041000","2.676053"
"V43","0.042000","2.657023"
"V44","0.043000","2.639669"
"V45","0.044000","2.624269"
"V46","0.045000","2.610955"
"V47","0.046000","2.599715"
"V48","0.047000","2.590411"
"V49","0.048000","2.582797"
"V50","0.049000","2.576562"
"V51","0.050000","2.571362"
"V52","0.051000","2.566863"
"V53","0.052000","2.562772"
"V54","0.053000","2.558867"
"V55","0.054000","2.555019"
"V56","0.055000","2.551193"
"V57","0.056000","2.547453"
"V58","0.057000","2.543939"
"V59","0.058000","2.540851"
"V60","0.059000","2.538416"
"V61","0.060000","2.536857"
"V62","0.06100","2.53636"
"V63","0.062000","2.537045"
"V64","0.063000","2.538946"
"V65","0.064000","2.541996"
"V66","0.065000","2.546025"
"V67","0.066000","2.550771"
"V68","0.06700","2.55589"
"V69","0.068000","2.560993"
"V70","0.06900","2.56567"
"V71","0.070000","2.569527"
"V72","0.071000","2.572223"
"V73","0.0720","2.5735"
"V74","0.073000","2.573207"
"V75","0.074000","2.571315"
"V76","0.07500","2.56793"
"V77","0.076000","2.563278"
"V78","0.0770","2.5577"
"V79","0.078000","2.551622"
"V80","0.07900","2.54553"
"V81","0.080000","2.539931"
"V82","0.081000","2.535318"
"V83","0.082000","2.532142"
"V84","0.083000","2.530772"
"V85","0.084000","2.531482"
"V86","0.085000","2.534429"
"V87","0.086000","2.539651"
"V88","0.087000","2.547067"
"V89","0.088000","2.556487"
"V90","0.089000","2.567633"
"V91","0.090000","2.580155"
"V92","0.091000","2.593656"
"V93","0.092000","2.607716"
"V94","0.093000","2.621916"
"V95","0.094000","2.635849"
"V96","0.09500","2.64914"
"V97","0.096000","2.661449"
