"","V1","V2"
"V1","0","1"
"V2","0.001000","1.001562"
"V3","0.002000","1.003247"
"V4","0.003000","1.005055"
"V5","0.004000","1.006985"
"V6","0.005000","1.009037"
"V7","0.00600","1.01121"
"V8","0.007000","1.013503"
"V9","0.008000","1.015916"
"V10","0.009000","1.018448"
"V11","0.010000","1.021097"
"V12","0.011000","1.023862"
"V13","0.012000","1.026743"
"V14","0.013000","1.029737"
"V15","0.014000","1.032843"
"V16","0.015000","1.036061"
"V17","0.016000","1.039387"
"V18","0.017000","1.042821"
"V19","0.01800","1.04636"
"V20","0.019000","1.050004"
"V21","0.020000","1.053748"
"V22","0.021000","1.057593"
"V23","0.022000","1.061535"
"V24","0.023000","1.065572"
"V25","0.024000","1.069701"
"V26","0.025000","1.073922"
"V27","0.02600","1.07823"
"V28","0.027000","1.082624"
"V29","0.0280","1.0871"
"V30","0.029000","1.091656"
"V31","0.03000","1.09629"
"V32","0.031000","1.100998"
"V33","0.032000","1.105778"
"V34","0.033000","1.110627"
"V35","0.034000","1.115541"
"V36","0.035000","1.120517"
"V37","0.036000","1.125553"
"V38","0.037000","1.130645"
"V39","0.03800","1.13579"
"V40","0.039000","1.140985"
"V41","0.040000","1.146227"
"V42","0.041000","1.151511"
"V43","0.042000","1.156835"
"V44","0.043000","1.162195"
"V45","0.044000","1.167588"
"V46","0.045000","1.173011"
"V47","0.046000","1.178459"
"V48","0.04700","1.18393"
"V49","0.048000","1.189419"
"V50","0.049000","1.194924"
"V51","0.05000","1.20044"
"V52","0.051000","1.205965"
"V53","0.052000","1.211493"
"V54","0.053000","1.217023"
"V55","0.05400","1.22255"
"V56","0.055000","1.228071"
"V57","0.056000","1.233581"
"V58","0.057000","1.239078"
"V59","0.058000","1.244559"
"V60","0.059000","1.250018"
"V61","0.060000","1.255454"
"V62","0.061000","1.260861"
"V63","0.062000","1.266238"
"V64","0.06300","1.27158"
"V65","0.064000","1.276884"
"V66","0.065000","1.282146"
"V67","0.066000","1.287363"
"V68","0.067000","1.292533"
"V69","0.06800","1.29765"
"V70","0.069000","1.302713"
"V71","0.070000","1.307718"
"V72","0.071000","1.312662"
"V73","0.072000","1.317542"
"V74","0.073000","1.322354"
"V75","0.074000","1.327096"
"V76","0.075000","1.331765"
"V77","0.076000","1.336357"
"V78","0.077000","1.340871"
"V79","0.078000","1.345302"
"V80","0.07900","1.34965"
"V81","0.08000","1.35391"
"V82","0.081000","1.358081"
"V83","0.08200","1.36216"
"V84","0.083000","1.366144"
"V85","0.084000","1.370031"
"V86","0.08500","1.37382"
"V87","0.086000","1.377507"
"V88","0.087000","1.381091"
"V89","0.08800","1.38457"
"V90","0.089000","1.387942"
"V91","0.090000","1.391204"
"V92","0.091000","1.394356"
"V93","0.092000","1.397396"
"V94","0.093000","1.400322"
"V95","0.094000","1.403132"
"V96","0.095000","1.405826"
"V97","0.096000","1.408402"
"V98","0.097000","1.410859"
"V99","0.098000","1.413195"
"V100","0.099000","1.415411"
"V101","0.100000","1.417504"
"V102","0.101000","1.419475"
"V103","0.102000","1.421323"
"V104","0.103000","1.423046"
"V105","0.104000","1.424645"
"V106","0.105000","1.426119"
"V107","0.106000","1.427468"
"V108","0.107000","1.428692"
"V109","0.108000","1.429791"
"V110","0.109000","1.430764"
"V111","0.110000","1.431613"
"V112","0.111000","1.432336"
"V113","0.112000","1.432935"
"V114","0.11300","1.43341"
"V115","0.114000","1.433762"
"V116","0.115000","1.433991"
"V117","0.116000","1.434097"
"V118","0.117000","1.434083"
"V119","0.118000","1.433948"
"V120","0.119000","1.433694"
"V121","0.120000","1.433322"
"V122","0.121000","1.432833"
"V123","0.122000","1.432228"
"V124","0.123000","1.431509"
"V125","0.124000","1.430678"
"V126","0.125000","1.429736"
"V127","0.126000","1.428684"
"V128","0.127000","1.427525"
"V129","0.128000","1.426261"
"V130","0.129000","1.424892"
"V131","0.130000","1.423422"
"V132","0.131000","1.421852"
"V133","0.132000","1.420185"
"V134","0.133000","1.418423"
"V135","0.134000","1.416568"
"V136","0.135000","1.414623"
"V137","0.13600","1.41259"
"V138","0.137000","1.410471"
"V139","0.13800","1.40827"
"V140","0.139000","1.405988"
"V141","0.14000","1.40363"
"V142","0.141000","1.401197"
"V143","0.142000","1.398692"
"V144","0.143000","1.396119"
"V145","0.14400","1.39348"
"V146","0.145000","1.390778"
"V147","0.146000","1.388017"
"V148","0.147000","1.385199"
"V149","0.148000","1.382327"
"V150","0.149000","1.379406"
"V151","0.150000","1.376437"
"V152","0.151000","1.373425"
"V153","0.152000","1.370372"
"V154","0.153000","1.367282"
"V155","0.154000","1.364159"
"V156","0.155000","1.361005"
"V157","0.156000","1.357824"
"V158","0.15700","1.35462"
"V159","0.158000","1.351395"
"V160","0.159000","1.348154"
