"","V1","V2"
"V1","0.0","0.8"
"V2","0.0010000","0.7993436"
"V3","0.002000","0.798774"
"V4","0.0030000","0.7982909"
"V5","0.0040000","0.7978939"
"V6","0.0050000","0.7975828"
"V7","0.0060000","0.7973571"
"V8","0.0070000","0.7972162"
"V9","0.0080000","0.7971597"
"V10","0.0090000","0.7971867"
"V11","0.0100000","0.7972966"
"V12","0.0110000","0.7974887"
"V13","0.012000","0.797762"
"V14","0.0130000","0.7981156"
"V15","0.0140000","0.7985486"
"V16","0.0150000","0.7990599"
"V17","0.0160000","0.7996483"
"V18","0.0170000","0.8003128"
"V19","0.018000","0.801052"
"V20","0.0190000","0.8018646"
"V21","0.0200000","0.8027494"
"V22","0.0210000","0.8037048"
"V23","0.0220000","0.8047294"
"V24","0.0230000","0.8058216"
"V25","0.0240000","0.8069799"
"V26","0.0250000","0.8082025"
"V27","0.0260000","0.8094879"
"V28","0.0270000","0.8108343"
"V29","0.0280000","0.8122398"
"V30","0.0290000","0.8137025"
"V31","0.0300000","0.8152207"
"V32","0.0310000","0.8167924"
"V33","0.0320000","0.8184155"
"V34","0.0330000","0.8200881"
"V35","0.034000","0.821808"
"V36","0.0350000","0.8235732"
"V37","0.0360000","0.8253815"
"V38","0.0370000","0.8272307"
"V39","0.0380000","0.8291186"
"V40","0.039000","0.831043"
"V41","0.0400000","0.8330015"
"V42","0.0410000","0.8349919"
"V43","0.0420000","0.8370118"
"V44","0.0430000","0.8390588"
"V45","0.0440000","0.8411306"
"V46","0.0450000","0.8432248"
"V47","0.0460000","0.8453388"
"V48","0.0470000","0.8474704"
"V49","0.0480000","0.8496169"
"V50","0.049000","0.851776"
"V51","0.050000","0.853945"
"V52","0.0510000","0.8561217"
"V53","0.0520000","0.8583033"
"V54","0.0530000","0.8604875"
"V55","0.0540000","0.8626716"
"V56","0.0550000","0.8648532"
"V57","0.0560000","0.8670298"
"V58","0.0570000","0.8691988"
"V59","0.0580000","0.8713577"
"V60","0.059000","0.873504"
"V61","0.0600000","0.8756352"
"V62","0.0610000","0.8777488"
"V63","0.0620000","0.8798424"
"V64","0.0630000","0.8819134"
"V65","0.0640000","0.8839594"
"V66","0.0650000","0.8859779"
"V67","0.0660000","0.8879666"
"V68","0.0670000","0.8899231"
"V69","0.068000","0.891845"
"V70","0.0690000","0.8937299"
"V71","0.0700000","0.8955755"
"V72","0.0710000","0.8973795"
"V73","0.0720000","0.8991397"
"V74","0.0730000","0.9008539"
"V75","0.0740000","0.9025198"
"V76","0.0750000","0.9041352"
"V77","0.0760000","0.9056981"
"V78","0.0770000","0.9072064"
"V79","0.078000","0.908658"
"V80","0.079000","0.910051"
"V81","0.0800000","0.9113833"
"V82","0.0810000","0.9126531"
"V83","0.0820000","0.9138584"
"V84","0.0830000","0.9149976"
"V85","0.0840000","0.9160687"
"V86","0.0850000","0.9170701"
"V87","0.0860000","0.9180001"
"V88","0.0870000","0.9188572"
"V89","0.0880000","0.9196397"
"V90","0.0890000","0.9203461"
"V91","0.090000","0.920975"
"V92","0.0910000","0.9215251"
