"","V1","V2"
"V1","0","1"
"V2","0.001000","1.003066"
"V3","0.0020000","0.9871837"
"V4","0.0030000","0.9779154"
"V5","0.0040000","0.9495442"
"V6","0.0050000","0.9912524"
"V7","0.0060000","0.9760281"
"V8","0.0070000","0.9674561"
"V9","0.0080000","0.9699138"
"V10","0.0090000","0.9349673"
"V11","0.0100000","0.8906267"
"V12","0.0110000","0.8218989"
"V13","0.0120000","0.8160514"
"V14","0.0130000","0.8204114"
"V15","0.0140000","0.8218404"
"V16","0.0150000","0.7850152"
"V17","0.0160000","0.7766945"
"V18","0.0170000","0.8065229"
"V19","0.0180000","0.7757392"
"V20","0.019000","0.747738"
"V21","0.0200000","0.7669727"
"V22","0.0210000","0.7448919"
"V23","0.0220000","0.7213993"
"V24","0.0230000","0.7207776"
"V25","0.0240000","0.7120419"
"V26","0.0250000","0.7044559"
"V27","0.0260000","0.7184963"
"V28","0.0270000","0.6834582"
"V29","0.0280000","0.6695128"
"V30","0.0290000","0.6540773"
"V31","0.0300000","0.6596697"
"V32","0.0310000","0.6343082"
"V33","0.0320000","0.6048504"
"V34","0.0330000","0.6325658"
"V35","0.0340000","0.6085283"
"V36","0.035000","0.653006"
"V37","0.0360000","0.6634973"
"V38","0.0370000","0.6636899"
"V39","0.0380000","0.6765593"
"V40","0.0390000","0.6658321"
"V41","0.0400000","0.6978132"
"V42","0.0410000","0.6667044"
"V43","0.0420000","0.6811393"
"V44","0.0430000","0.6690675"
"V45","0.0440000","0.6480387"
"V46","0.0450000","0.6222059"
"V47","0.0460000","0.6253181"
"V48","0.0470000","0.6428442"
"V49","0.048000","0.625878"
"V50","0.0490000","0.6608447"
"V51","0.0500000","0.7059704"
"V52","0.0510000","0.6810354"
"V53","0.052000","0.714997"
"V54","0.0530000","0.7380292"
"V55","0.0540000","0.7391639"
"V56","0.0550000","0.7356065"
"V57","0.0560000","0.7618972"
"V58","0.0570000","0.7620631"
"V59","0.0580000","0.7586136"
"V60","0.0590000","0.7392398"
"V61","0.0600000","0.7264848"
"V62","0.0610000","0.7102584"
"V63","0.0620000","0.7530062"
"V64","0.0630000","0.7750512"
"V65","0.0640000","0.7372928"
"V66","0.0650000","0.7129522"
"V67","0.0660000","0.7100379"
"V68","0.0670000","0.6968251"
"V69","0.0680000","0.6964601"
"V70","0.069000","0.701197"
"V71","0.0700000","0.7263958"
"V72","0.0710000","0.7513565"
"V73","0.0720000","0.7421168"
"V74","0.0730000","0.7186455"
"V75","0.0740000","0.7052291"
"V76","0.0750000","0.7462491"
"V77","0.0760000","0.7479673"
"V78","0.0770000","0.7103911"
"V79","0.0780000","0.7067306"
"V80","0.0790000","0.7298543"
"V81","0.0800000","0.7349895"
"V82","0.0810000","0.7028961"
"V83","0.082000","0.686483"
"V84","0.083000","0.673547"
"V85","0.0840000","0.6577655"
"V86","0.0850000","0.7092957"
"V87","0.0860000","0.7333482"
"V88","0.0870000","0.7186379"
"V89","0.0880000","0.7163341"
"V90","0.0890000","0.7432437"
"V91","0.0900000","0.7295572"
"V92","0.0910000","0.7232869"
"V93","0.0920000","0.7020751"
"V94","0.0930000","0.6969483"
"V95","0.094000","0.728095"
"V96","0.0950000","0.7476987"
"V97","0.0960000","0.7576732"
"V98","0.0970000","0.7738717"
"V99","0.0980000","0.7087727"
"V100","0.0990000","0.7381716"
"V101","0.1000000","0.7556601"
"V102","0.1010000","0.7931558"
"V103","0.1020000","0.8172787"
"V104","0.1030000","0.8242171"
"V105","0.1040000","0.8222763"
"V106","0.1050000","0.8067434"
"V107","0.1060000","0.8109665"
"V108","0.1070000","0.8485071"
"V109","0.1080000","0.8409342"
"V110","0.1090000","0.8484065"
"V111","0.1100000","0.8751908"
"V112","0.1110000","0.8759943"
"V113","0.112000","0.891717"
"V114","0.1130000","0.8768402"
"V115","0.114000","0.894603"
"V116","0.1150000","0.8261502"
"V117","0.1160000","0.8181416"
"V118","0.1170000","0.7697952"
"V119","0.1180000","0.7693124"
"V120","0.1190000","0.7741209"
"V121","0.1200000","0.7382166"
"V122","0.1210000","0.7454089"
"V123","0.1220000","0.7396388"
"V124","0.1230000","0.6842843"
"V125","0.1240000","0.6771762"
"V126","0.1250000","0.6972917"
"V127","0.1260000","0.7156863"
"V128","0.1270000","0.7131622"
"V129","0.1280000","0.7161165"
"V130","0.1290000","0.7213219"
"V131","0.1300000","0.7133454"
"V132","0.1310000","0.7475389"
"V133","0.132000","0.795427"
"V134","0.1330000","0.7991411"
"V135","0.1340000","0.8186658"
"V136","0.1350000","0.8172343"
"V137","0.1360000","0.8104069"
"V138","0.1370000","0.8006816"
"V139","0.1380000","0.8443637"
"V140","0.1390000","0.8497992"
"V141","0.1400000","0.8571241"
"V142","0.1410000","0.8568457"
"V143","0.1420000","0.9182243"
"V144","0.1430000","0.9058083"
"V145","0.1440000","0.8629505"
"V146","0.1450000","0.8496227"
"V147","0.1460000","0.8566175"
"V148","0.1470000","0.8570995"
"V149","0.1480000","0.8136854"
"V150","0.1490000","0.8425128"
"V151","0.1500000","0.8401919"
"V152","0.1510000","0.8033718"
"V153","0.1520000","0.7951311"
"V154","0.1530000","0.7794672"
"V155","0.1540000","0.7562409"
"V156","0.1550000","0.7721291"
"V157","0.1560000","0.8267097"
"V158","0.1570000","0.8833946"
"V159","0.1580000","0.8908699"
"V160","0.1590000","0.8655351"
"V161","0.1600000","0.8348567"
"V162","0.1610000","0.8299838"
"V163","0.1620000","0.8075269"
"V164","0.1630000","0.7752416"
"V165","0.1640000","0.8060318"
"V166","0.1650000","0.8399816"
"V167","0.1660000","0.8774614"
"V168","0.1670000","0.8992148"
"V169","0.1680000","0.8760043"
"V170","0.1690000","0.8404254"
"V171","0.17000","0.85454"
"V172","0.1710000","0.8691641"
"V173","0.1720000","0.8587106"
"V174","0.1730000","0.8807878"
"V175","0.1740000","0.8838842"
"V176","0.1750000","0.8274165"
"V177","0.1760000","0.8087609"
"V178","0.1770000","0.7829044"
"V179","0.1780000","0.7746028"
"V180","0.1790000","0.7957185"
"V181","0.1800000","0.8395322"
"V182","0.1810000","0.8310389"
"V183","0.1820000","0.8033389"
"V184","0.1830000","0.8177822"
"V185","0.1840000","0.8844592"
"V186","0.1850000","0.9132232"
