"","V1","V2","V3"
"V140","0.1390000","0.7481086","0.9606200"
"V141","0.1400000","0.7459034","0.9608136"
"V142","0.1410000","0.7436996","0.9610355"
"V143","0.1420000","0.7414973","0.9612864"
"V144","0.1430000","0.7392965","0.9615672"
"V145","0.1440000","0.7370974","0.9618787"
"V146","0.1450000","0.7348999","0.9622215"
"V147","0.1460000","0.7327043","0.9625964"
"V148","0.1470000","0.7305106","0.9630041"
"V149","0.1480000","0.7283188","0.9634453"
"V150","0.1490000","0.7261291","0.9639208"
"V151","0.1500000","0.7239416","0.9644312"
"V152","0.1510000","0.7217564","0.9649771"
"V153","0.1520000","0.7195735","0.9655592"
"V154","0.1530000","0.7173931","0.9661781"
"V155","0.1540000","0.7152153","0.9668345"
"V156","0.1550000","0.7130402","0.9675289"
"V157","0.1560000","0.7108679","0.9682618"
"V158","0.1570000","0.7086986","0.9690340"
"V159","0.1580000","0.7065322","0.9698458"
"V160","0.1590000","0.7043691","0.9706979"
"V161","0.1600000","0.7022092","0.9715907"
"V162","0.1610000","0.7000527","0.9725247"
"V163","0.1620000","0.6978997","0.9735005"
"V164","0.1630000","0.6957504","0.9745185"
"V165","0.1640000","0.6936048","0.9755792"
"V166","0.1650000","0.6914632","0.9766830"
"V167","0.1660000","0.6893256","0.9778302"
"V168","0.1670000","0.6871922","0.9790214"
"V169","0.1680000","0.6850632","0.9802566"
"V170","0.1690000","0.6829386","0.9815362"
"V171","0.1700000","0.6808188","0.9828603"
"V172","0.1710000","0.6787038","0.9842292"
"V173","0.1720000","0.6765938","0.9856432"
"V174","0.1730000","0.6744890","0.9871023"
"V175","0.1740000","0.6723896","0.9886068"
"V176","0.1750000","0.6702958","0.9901568"
"V177","0.1760000","0.6682077","0.9917524"
"V178","0.1770000","0.6661256","0.9933936"
"V179","0.1780000","0.6640496","0.9950805"
"V180","0.179000","0.661980","0.996813"
"V181","0.1800000","0.6599169","0.9985912"
"V182","0.1810000","0.6578605","1.0004151"
"V183","0.182000","0.655811","1.002284"
"V184","0.1830000","0.6537687","1.0041992"
"V185","0.1840000","0.6517337","1.0061593"
"V186","0.1850000","0.6497062","1.0081646"
"V187","0.1860000","0.6476865","1.0102147"
"V188","0.1870000","0.6456747","1.0123096"
"V189","0.1880000","0.6436712","1.0144490"
"V190","0.189000","0.641676","1.016633"
"V191","0.1900000","0.6396894","1.0188600"
"V192","0.1910000","0.6377117","1.0211310"
"V193","0.1920000","0.6357431","1.0234453"
"V194","0.1930000","0.6337837","1.0258023"
"V195","0.1940000","0.6318338","1.0282018"
"V196","0.1950000","0.6298937","1.0306432"
"V197","0.1960000","0.6279636","1.0331260"
"V198","0.1970000","0.6260437","1.0356499"
"V199","0.1980000","0.6241342","1.0382142"
"V200","0.1990000","0.6222355","1.0408184"
"V201","0.2000000","0.6203477","1.0434620"
"V202","0.201000","0.618471","1.046144"
"V203","0.2020000","0.6166058","1.0488645"
"V204","0.2030000","0.6147521","1.0516225"
"V205","0.2040000","0.6129102","1.0544174"
"V206","0.2050000","0.6110804","1.0572485"
"V207","0.2060000","0.6092628","1.0601149"
"V208","0.2070000","0.6074578","1.0630160"
"V209","0.2080000","0.6056654","1.0659508"
