"","V1","V2","V3"
"V1","0","3","3"
"V2","0.001000","3.002621","3.002528"
"V3","0.002000","3.005285","3.004912"
"V4","0.003000","3.007992","3.007152"
"V5","0.004000","3.010742","3.009249"
"V6","0.005000","3.013534","3.011203"
"V7","0.006000","3.016369","3.013015"
"V8","0.007000","3.019246","3.014685"
"V9","0.008000","3.022165","3.016215"
"V10","0.009000","3.025126","3.017603"
"V11","0.010000","3.028129","3.018853"
"V12","0.011000","3.031174","3.019964"
"V13","0.012000","3.034259","3.020938"
"V14","0.013000","3.037386","3.021776"
"V15","0.014000","3.040553","3.022479"
"V16","0.015000","3.043760","3.023049"
"V17","0.016000","3.047008","3.023487"
"V18","0.017000","3.050295","3.023794"
"V19","0.018000","3.053621","3.023973"
"V20","0.019000","3.056985","3.024024"
"V21","0.020000","3.060388","3.023951"
"V22","0.021000","3.063829","3.023754"
"V23","0.022000","3.067307","3.023436"
"V24","0.023000","3.070821","3.022999"
"V25","0.024000","3.074372","3.022445"
"V26","0.025000","3.077959","3.021776"
"V27","0.026000","3.081581","3.020995"
"V28","0.027000","3.085238","3.020104"
"V29","0.028000","3.088929","3.019105"
"V30","0.029000","3.092653","3.018001"
"V31","0.030000","3.096410","3.016794"
"V32","0.031000","3.100200","3.015488"
"V33","0.032000","3.104021","3.014084"
"V34","0.033000","3.107873","3.012586"
"V35","0.034000","3.111756","3.010997"
"V36","0.035000","3.115669","3.009319"
"V37","0.036000","3.119611","3.007555"
"V38","0.037000","3.123582","3.005708"
"V39","0.038000","3.127581","3.003782"
"V40","0.039000","3.131606","3.001780"
"V41","0.040000","3.135659","2.999704"
"V42","0.041000","3.139737","2.997558"
"V43","0.042000","3.143841","2.995345"
"V44","0.043000","3.147970","2.993068"
"V45","0.044000","3.152122","2.990732"
"V46","0.045000","3.156298","2.988338"
"V47","0.046000","3.160497","2.985890"
"V48","0.047000","3.164717","2.983393"
"V49","0.048000","3.168959","2.980848"
"V50","0.049000","3.173222","2.978260"
"V51","0.050000","3.177506","2.975631"
"V52","0.051000","3.181808","2.972966"
"V53","0.052000","3.186130","2.970267"
"V54","0.053000","3.190471","2.967538"
"V55","0.054000","3.194829","2.964783"
"V56","0.055000","3.199204","2.962005"
"V57","0.056000","3.203596","2.959208"
"V58","0.057000","3.208004","2.956395"
"V59","0.058000","3.212427","2.953569"
"V60","0.059000","3.216866","2.950734"
"V61","0.060000","3.221319","2.947893"
"V62","0.061000","3.225786","2.945050"
"V63","0.062000","3.230266","2.942207"
"V64","0.06300","3.23476","2.93937"
"V65","0.064000","3.239266","2.936540"
"V66","0.065000","3.243784","2.933722"
"V67","0.066000","3.248313","2.930917"
"V68","0.067000","3.252854","2.928131"
"V69","0.068000","3.257406","2.925365"
"V70","0.069000","3.261967","2.922623"
"V71","0.070000","3.266539","2.919909"
"V72","0.071000","3.271121","2.917224"
"V73","0.072000","3.275712","2.914572"
"V74","0.073000","3.280311","2.911957"
"V75","0.07400","3.28492","2.90938"
"V76","0.075000","3.289537","2.906846"
"V77","0.076000","3.294162","2.904356"
"V78","0.077000","3.298794","2.901913"
"V79","0.078000","3.303435","2.899521"
"V80","0.079000","3.308082","2.897181"
"V81","0.080000","3.312737","2.894898"
"V82","0.081000","3.317398","2.892672"
"V83","0.082000","3.322067","2.890507"
"V84","0.083000","3.326741","2.888404"
"V85","0.084000","3.331423","2.886366"
"V86","0.085000","3.336110","2.884396"
"V87","0.086000","3.340804","2.882496"
"V88","0.087000","3.345503","2.880667"
"V89","0.088000","3.350209","2.878911"
"V90","0.089000","3.354920","2.877232"
"V91","0.090000","3.359638","2.875629"
"V92","0.091000","3.364361","2.874106"
"V93","0.092000","3.369090","2.872664"
"V94","0.093000","3.373824","2.871304"
"V95","0.094000","3.378564","2.870028"
"V96","0.095000","3.383310","2.868837"
"V97","0.096000","3.388062","2.867732"
"V98","0.097000","3.392819","2.866716"
"V99","0.098000","3.397582","2.865788"
"V100","0.099000","3.402351","2.864951"
"V101","0.100000","3.407125","2.864204"
"V102","0.101000","3.411906","2.863549"
"V103","0.102000","3.416692","2.862987"
"V104","0.103000","3.421485","2.862518"
"V105","0.104000","3.426284","2.862143"
"V106","0.105000","3.431090","2.861862"
"V107","0.106000","3.435901","2.861677"
"V108","0.107000","3.440720","2.861587"
"V109","0.108000","3.445545","2.861592"
"V110","0.109000","3.450377","2.861692"
"V111","0.110000","3.455216","2.861889"
"V112","0.111000","3.460062","2.862180"
"V113","0.112000","3.464916","2.862567"
"V114","0.113000","3.469777","2.863049"
"V115","0.114000","3.474646","2.863626"
"V116","0.115000","3.479523","2.864296"
"V117","0.116000","3.484408","2.865061"
"V118","0.117000","3.489301","2.865919"
"V119","0.118000","3.494203","2.866869"
"V120","0.119000","3.499114","2.867910"
"V121","0.120000","3.504034","2.869043"
"V122","0.121000","3.508962","2.870265"
"V123","0.122000","3.513901","2.871576"
"V124","0.123000","3.518848","2.872974"
"V125","0.124000","3.523806","2.874459"
"V126","0.125000","3.528773","2.876029"
"V127","0.126000","3.533751","2.877683"
"V128","0.127000","3.538739","2.879419"
"V129","0.128000","3.543738","2.881236"
"V130","0.129000","3.548748","2.883132"
"V131","0.130000","3.553769","2.885105"
"V132","0.131000","3.558802","2.887154"
"V133","0.132000","3.563846","2.889276"
"V134","0.133000","3.568902","2.891470"
"V135","0.134000","3.573971","2.893734"
"V136","0.135000","3.579052","2.896065"
"V137","0.136000","3.584145","2.898461"
"V138","0.137000","3.589251","2.900922"
"V139","0.138000","3.594371","2.903443"
"V140","0.139000","3.599503","2.906023"
"V141","0.140000","3.604650","2.908659"
"V142","0.141000","3.609810","2.911348"
"V143","0.142000","3.614984","2.914089"
"V144","0.143000","3.620173","2.916878"
"V145","0.144000","3.625376","2.919713"
"V146","0.145000","3.630593","2.922591"
"V147","0.146000","3.635826","2.925510"
"V148","0.147000","3.641074","2.928466"
"V149","0.148000","3.646337","2.931458"
"V150","0.149000","3.651615","2.934481"
"V151","0.150000","3.656910","2.937535"
"V152","0.151000","3.662220","2.940614"
"V153","0.152000","3.667546","2.943718"
"V154","0.153000","3.672888","2.946842"
"V155","0.154000","3.678247","2.949984"
