"","V1","V2"
"V1","0","1"
"V2","0.0010","1.0046"
"V3","0.002000","1.013835"
"V4","0.003000","1.030848"
"V5","0.004000","1.046009"
"V6","0.005000","1.044575"
"V7","0.006000","1.043559"
"V8","0.007000","1.061019"
"V9","0.008000","1.064451"
"V10","0.009000","1.039738"
"V11","0.010000","1.017649"
"V12","0.01100","1.00583"
"V13","0.012000","1.005598"
"V14","0.013000","1.011596"
"V15","0.014000","1.006591"
"V16","0.015000","1.001046"
"V17","0.0160000","0.9989847"
"V18","0.017000","1.002367"
"V19","0.018000","1.018959"
"V20","0.019000","1.013976"
"V21","0.020000","1.011574"
"V22","0.021000","1.011693"
"V23","0.022000","1.012728"
"V24","0.02300","1.02139"
"V25","0.024000","1.011993"
"V26","0.025000","1.016525"
"V27","0.026000","1.009143"
"V28","0.027000","1.005405"
"V29","0.028000","1.003903"
"V30","0.02900","1.01052"
"V31","0.030000","1.012802"
"V32","0.031000","1.003226"
"V33","0.03200","1.00491"
"V34","0.033000","1.009983"
"V35","0.03400","1.01343"
"V36","0.0350000","0.9993306"
"V37","0.0360000","0.9785165"
"V38","0.0370000","0.9786685"
"V39","0.0380000","0.9794706"
"V40","0.0390000","0.9982534"
"V41","0.040000","0.996561"
"V42","0.041000","0.988172"
"V43","0.042000","0.993657"
"V44","0.0430000","0.9787574"
"V45","0.0440000","0.9929123"
"V46","0.045000","1.009383"
"V47","0.046000","1.011961"
"V48","0.04700","1.00325"
"V49","0.048000","1.009175"
"V50","0.049000","1.013799"
"V51","0.050000","1.035645"
"V52","0.051000","1.057691"
"V53","0.052000","1.068591"
"V54","0.053000","1.074075"
"V55","0.054000","1.068649"
"V56","0.055000","1.076771"
"V57","0.056000","1.069592"
"V58","0.057000","1.073528"
"V59","0.058000","1.075261"
"V60","0.059000","1.074461"
"V61","0.060000","1.075503"
"V62","0.061000","1.080301"
"V63","0.062000","1.088331"
"V64","0.063000","1.089979"
"V65","0.064000","1.091488"
"V66","0.065000","1.074873"
"V67","0.066000","1.080626"
"V68","0.067000","1.083351"
"V69","0.068000","1.076629"
"V70","0.069000","1.071894"
"V71","0.070000","1.077513"
"V72","0.071000","1.068576"
"V73","0.072000","1.063792"
"V74","0.073000","1.061204"
"V75","0.074000","1.047186"
"V76","0.075000","1.050207"
"V77","0.076000","1.067123"
"V78","0.077000","1.077873"
"V79","0.078000","1.079305"
"V80","0.079000","1.082577"
"V81","0.080000","1.073425"
"V82","0.081000","1.068614"
"V83","0.082000","1.065408"
"V84","0.0830","1.0688"
"V85","0.084000","1.063944"
"V86","0.085000","1.067171"
"V87","0.08600","1.08972"
"V88","0.087000","1.090763"
"V89","0.088000","1.108616"
"V90","0.089000","1.104044"
"V91","0.090000","1.086695"
"V92","0.091000","1.083352"
"V93","0.092000","1.073292"
"V94","0.093000","1.077791"
"V95","0.094000","1.068125"
"V96","0.095000","1.070928"
"V97","0.096000","1.077962"
"V98","0.09700","1.08526"
"V99","0.098000","1.079459"
"V100","0.099000","1.079316"
"V101","0.100000","1.082417"
"V102","0.101000","1.100035"
"V103","0.102000","1.095686"
"V104","0.103000","1.114761"
"V105","0.104000","1.106434"
"V106","0.10500","1.10266"
"V107","0.106000","1.101174"
"V108","0.10700","1.10422"
"V109","0.108000","1.099014"
"V110","0.109000","1.107483"
"V111","0.110000","1.102867"
"V112","0.111000","1.104843"
"V113","0.112000","1.104894"
"V114","0.113000","1.105282"
"V115","0.114","1.099"
"V116","0.115000","1.099208"
"V117","0.116000","1.094863"
"V118","0.117000","1.098269"
"V119","0.118000","1.096626"
"V120","0.119000","1.106551"
"V121","0.120000","1.117147"
"V122","0.121000","1.131684"
"V123","0.122000","1.115244"
"V124","0.123000","1.112064"
"V125","0.124000","1.098548"
"V126","0.12500","1.09214"
"V127","0.126000","1.085276"
"V128","0.127000","1.073458"
"V129","0.128000","1.071766"
"V130","0.129000","1.070407"
"V131","0.130000","1.059704"
"V132","0.131000","1.049023"
"V133","0.132000","1.039056"
"V134","0.133000","1.042921"
"V135","0.134000","1.033792"
"V136","0.135000","1.026961"
"V137","0.136000","1.040043"
"V138","0.137000","1.041005"
"V139","0.138000","1.032682"
"V140","0.139000","1.032109"
"V141","0.140000","1.039567"
"V142","0.141000","1.042337"
"V143","0.14200","1.05338"
"V144","0.143000","1.056034"
"V145","0.144000","1.052758"
"V146","0.145000","1.044912"
"V147","0.146000","1.047965"
"V148","0.147000","1.071843"
"V149","0.148000","1.081339"
"V150","0.149000","1.098896"
"V151","0.150000","1.100784"
"V152","0.151000","1.100819"
"V153","0.152000","1.112828"
"V154","0.153000","1.116464"
"V155","0.154000","1.113715"
"V156","0.155000","1.115843"
"V157","0.156000","1.122641"
"V158","0.157000","1.122689"
"V159","0.158000","1.129579"
"V160","0.159000","1.121536"
"V161","0.16000","1.11311"
"V162","0.161000","1.112327"
"V163","0.162000","1.118949"
"V164","0.163000","1.098068"
"V165","0.164000","1.090154"
"V166","0.165000","1.077454"
"V167","0.166000","1.073237"
"V168","0.167000","1.068707"
"V169","0.168000","1.077419"
"V170","0.169000","1.080504"
"V171","0.170000","1.074605"
"V172","0.171000","1.082912"
"V173","0.172000","1.073635"
"V174","0.17300","1.06191"
"V175","0.174000","1.054835"
"V176","0.175000","1.052306"
"V177","0.176000","1.055139"
"V178","0.17700","1.04401"
"V179","0.178000","1.036745"
"V180","0.179000","1.044928"
"V181","0.180000","1.051454"
"V182","0.181000","1.052355"
"V183","0.182000","1.055095"
"V184","0.183000","1.059572"
"V185","0.184000","1.074999"
"V186","0.185000","1.074897"
"V187","0.186000","1.075931"
"V188","0.187000","1.097261"
"V189","0.188000","1.113402"
"V190","0.189000","1.121548"
"V191","0.190000","1.118691"
"V192","0.191000","1.098073"
"V193","0.192000","1.098472"
"V194","0.193000","1.092256"
"V195","0.19400","1.09169"
"V196","0.1950","1.0956"
"V197","0.196000","1.097062"
"V198","0.197000","1.088765"
"V199","0.198000","1.092502"
"V200","0.199000","1.098931"
"V201","0.200000","1.087728"
"V202","0.201000","1.071935"
"V203","0.202000","1.068951"
"V204","0.203000","1.076441"
"V205","0.20400","1.08511"
"V206","0.2050","1.0844"
"V207","0.206000","1.113574"
"V208","0.207000","1.125562"
"V209","0.208000","1.119416"
"V210","0.209000","1.125478"
"V211","0.210000","1.131543"
"V212","0.211000","1.130617"
"V213","0.212000","1.133705"
"V214","0.213000","1.121623"
"V215","0.214000","1.099853"
"V216","0.215000","1.097399"
"V217","0.216000","1.093205"
"V218","0.217000","1.093218"
"V219","0.21800","1.08924"
"V220","0.21900","1.09291"
"V221","0.220000","1.091663"
"V222","0.221000","1.094207"
"V223","0.222000","1.102424"
"V224","0.223000","1.113007"
"V225","0.224000","1.123213"
"V226","0.225000","1.115549"
"V227","0.226000","1.121161"
"V228","0.227000","1.130353"
"V229","0.228000","1.133703"
"V230","0.229000","1.133912"
"V231","0.230000","1.145389"
"V232","0.23100","1.15368"
"V233","0.232000","1.141933"
"V234","0.2330","1.1352"
"V235","0.23400","1.14035"
"V236","0.235000","1.138337"
"V237","0.236000","1.130099"
"V238","0.237000","1.129368"
"V239","0.23800","1.12408"
"V240","0.239000","1.133891"
"V241","0.240000","1.141734"
"V242","0.241000","1.147096"
"V243","0.242000","1.147705"
"V244","0.243000","1.142356"
"V245","0.244000","1.139511"
"V246","0.245000","1.148759"
"V247","0.246000","1.149313"
"V248","0.247000","1.153898"
"V249","0.248000","1.164794"
"V250","0.24900","1.18143"
"V251","0.250000","1.178046"
"V252","0.251000","1.163281"
"V253","0.252000","1.160829"
"V254","0.253000","1.164158"
