"","V1","V2","V3"
"V1"," 0","-1","-1"
"V2"," 0.001000","-1.000526","-1.000156"
"V3"," 0.002000","-1.001678","-1.000248"
"V4"," 0.003000","-1.003413","-1.000315"
"V5"," 0.004000","-1.005678","-1.000396"
"V6"," 0.005000","-1.008413","-1.000534"
"V7"," 0.006000","-1.011548","-1.000769"
"V8"," 0.007000","-1.015005","-1.001146"
"V9"," 0.008000","-1.018698","-1.001708"
"V10"," 0.009000","-1.022533","-1.002502"
"V11"," 0.010000","-1.026411","-1.003567"
"V12"," 0.011000","-1.030265","-1.004900"
"V13"," 0.012000","-1.034028","-1.006483"
"V14"," 0.013000","-1.037646","-1.008282"
"V15"," 0.014000","-1.041074","-1.010243"
"V16"," 0.015000","-1.044281","-1.012303"
"V17"," 0.016000","-1.047256","-1.014368"
"V18"," 0.017000","-1.049994","-1.016346"
"V19"," 0.018000","-1.052501","-1.018154"
"V20"," 0.019000","-1.054790","-1.019719"
"V21"," 0.020000","-1.056879","-1.020979"
"V22"," 0.021000","-1.058795","-1.021880"
"V23"," 0.022000","-1.060570","-1.022384"
"V24"," 0.023000","-1.062227","-1.022493"
"V25"," 0.024000","-1.063788","-1.022236"
"V26"," 0.025000","-1.065272","-1.021661"
"V27"," 0.026000","-1.066695","-1.020835"
"V28"," 0.027000","-1.068066","-1.019849"
"V29"," 0.028000","-1.069393","-1.018801"
"V30"," 0.029000","-1.070679","-1.017795"
"V31"," 0.030000","-1.071925","-1.016933"
"V32"," 0.031000","-1.073130","-1.016289"
"V33"," 0.032000","-1.074294","-1.015910"
"V34"," 0.033000","-1.075415","-1.015815"
"V35"," 0.034000","-1.076491","-1.015995"
"V36"," 0.035000","-1.077521","-1.016411"
"V37"," 0.036000","-1.078501","-1.016968"
"V38"," 0.037000","-1.079432","-1.017538"
"V39"," 0.038000","-1.080307","-1.017982"
"V40"," 0.039000","-1.081118","-1.018151"
"V41"," 0.040000","-1.081854","-1.017885"
"V42"," 0.041000","-1.082502","-1.017013"
"V43"," 0.042000","-1.083046","-1.015383"
"V44"," 0.043000","-1.083460","-1.012875"
"V45"," 0.044000","-1.083719","-1.009404"
"V46"," 0.045000","-1.083800","-1.004936"
"V47"," 0.0460000","-1.0836861","-0.9994851"
"V48"," 0.0470000","-1.0833646","-0.9931217"
"V49"," 0.0480000","-1.0828268","-0.9859653"
"V50"," 0.0490000","-1.0820751","-0.9781719"
"V51"," 0.0500000","-1.0811318","-0.9699706"
"V52"," 0.0510000","-1.0800325","-0.9616167"
"V53"," 0.0520000","-1.0788250","-0.9533601"
"V54"," 0.0530000","-1.0775698","-0.9454456"
"V55"," 0.0540000","-1.0763399","-0.9381125"
"V56"," 0.0550000","-1.0752208","-0.9315951"
"V57"," 0.0560000","-1.0742975","-0.9260947"
"V58"," 0.0570000","-1.0736594","-0.9217337"
"V59"," 0.0580000","-1.0733928","-0.9185874"
"V60"," 0.059000","-1.073561","-0.916679"
"V61"," 0.0600000","-1.0742024","-0.9159792"
"V62"," 0.0610000","-1.0753338","-0.9164067"
"V63"," 0.0620000","-1.0769476","-0.9178278"
"V64"," 0.0630000","-1.0790135","-0.9200677"
"V65"," 0.0640000","-1.0814595","-0.9229453"
"V66"," 0.065000","-1.084168","-0.926244"
"V67"," 0.0660000","-1.0870102","-0.9297679"
"V68"," 0.0670000","-1.0898484","-0.9333463"
"V69"," 0.0680000","-1.0925356","-0.9368344"
"V70"," 0.069000","-1.094916","-0.940113"
"V71"," 0.0700000","-1.0968252","-0.9430883"
"V72"," 0.0710000","-1.0981348","-0.9457099"
"V73"," 0.0720000","-1.0987415","-0.9479954"
"V74"," 0.0730000","-1.0985764","-0.9499853"
"V75"," 0.0740000","-1.0976140","-0.9517366"
"V76"," 0.0750000","-1.0958716","-0.9533222"
"V77"," 0.076000","-1.093410","-0.954831"
"V78"," 0.0770000","-1.0903312","-0.9563684"
"V79"," 0.0780000","-1.0867637","-0.9580311"
"V80"," 0.0790000","-1.0828840","-0.9598796"
"V81"," 0.0800000","-1.0788917","-0.9619565"
