"","V1","V2","V3"
"V1","0","1","1"
"V2","0.0010000","0.9988368","0.9985858"
"V3","0.0020000","0.9970248","0.9960245"
"V4","0.0030000","0.9946850","0.9924566"
"V5","0.0040000","0.9919453","0.9880471"
"V6","0.0050000","0.9889406","0.9829852"
"V7","0.0060000","0.9858124","0.9774850"
"V8","0.0070000","0.9827089","0.9717847"
"V9","0.0080000","0.9797853","0.9661472"
"V10","0.0090000","0.9772036","0.9608595"
"V11","0.0100000","0.9751110","0.9562096"
"V12","0.0110000","0.9735311","0.9523694"
"V13","0.0120000","0.9724534","0.9494825"
"V14","0.0130000","0.9718198","0.9476382"
"V15","0.0140000","0.9715217","0.9468669"
"V16","0.0150000","0.9714216","0.9471485"
"V17","0.0160000","0.9713046","0.9483613"
"V18","0.0170000","0.9709564","0.9503458"
"V19","0.0180000","0.9701843","0.9529215"
"V20","0.0190000","0.9688174","0.9558869"
"V21","0.0200000","0.9667065","0.9590197"
"V22","0.0210000","0.9637241","0.9620768"
"V23","0.0220000","0.9597760","0.9648138"
"V24","0.0230000","0.9548579","0.9670551"
"V25","0.0240000","0.9490168","0.9686548"
"V26","0.0250000","0.9423418","0.9695224"
"V27","0.0260000","0.9349641","0.9696254"
"V28","0.0270000","0.9270579","0.9689894"
"V29","0.0280000","0.9188218","0.9676872"
"V30","0.0290000","0.9104656","0.9658629"
"V31","0.0300000","0.9022049","0.9637106"
"V32","0.0310000","0.8942259","0.9614298"
"V33","0.0320000","0.8866856","0.9592249"
"V34","0.0330000","0.8797120","0.9573052"
"V35","0.0340000","0.8734033","0.9558850"
"V36","0.0350000","0.8678254","0.9551520"
"V37","0.0360000","0.8629852","0.9552264"
"V38","0.0370000","0.8588571","0.9561846"
"V39","0.0380000","0.8553980","0.9580449"
"V40","0.0390000","0.8525476","0.9607672"
"V41","0.0400000","0.8502281","0.9642536"
"V42","0.0410000","0.8483444","0.9683477"
"V43","0.0420000","0.8467989","0.9728623"
"V44","0.0430000","0.8455086","0.9775634"
"V45","0.0440000","0.8443932","0.9821991"
"V46","0.0450000","0.8433804","0.9865449"
"V47","0.0460000","0.8424065","0.9904034"
"V48","0.0470000","0.8414157","0.9936040"
"V49","0.0480000","0.8403609","0.9960034"
"V50","0.0490000","0.8392019","0.9975099"
"V51","0.0500000","0.8378998","0.9981301"
"V52","0.0510000","0.8364207","0.9979256"
"V53","0.0520000","0.8347382","0.9970055"
"V54","0.0530000","0.8328333","0.9955255"
"V55","0.0540000","0.8306943","0.9936886"
"V56","0.0550000","0.8283170","0.9917448"
"V57","0.0560000","0.8257079","0.9899489"
"V58","0.0570000","0.8228966","0.9885509"
"V59","0.0580000","0.8199294","0.9877920"
"V60","0.0590000","0.8168674","0.9878560"
"V61","0.0600000","0.8137861","0.9888692"
"V62","0.0610000","0.8107758","0.9909004"
"V63","0.0620000","0.8079411","0.9939611"
"V64","0.0630000","0.8053951","0.9980093"
"V65","0.064000","0.803238","1.002922"
