"","V1","V2"
"V1","0","0"
"V2","0.001000000","0.000985233"
"V3","0.002000000","0.001940978"
"V4","0.003000000","0.002867346"
"V5","0.00400000","0.00376449"
"V6","0.005000000","0.004632608"
"V7","0.00600000","0.00547194"
"V8","0.007000000","0.006282769"
"V9","0.008000000","0.007065422"
"V10","0.009000000","0.007820268"
"V11","0.010000000","0.008547716"
"V12","0.011000000","0.009248219"
"V13","0.012000000","0.009922269"
"V14","0.0130000","0.0105704"
"V15","0.01400000","0.01119318"
"V16","0.01500000","0.01179124"
"V17","0.0160000","0.0123652"
"V18","0.01700000","0.01291578"
"V19","0.01800000","0.01344368"
"V20","0.01900000","0.01394968"
"V21","0.02000000","0.01443457"
"V22","0.02100000","0.01489918"
"V23","0.02200000","0.01534438"
"V24","0.02300000","0.01577107"
"V25","0.02400000","0.01618018"
"V26","0.02500000","0.01657267"
"V27","0.02600000","0.01694953"
"V28","0.02700000","0.01731179"
"V29","0.02800000","0.01766048"
"V30","0.02900000","0.01799668"
"V31","0.0300000","0.0183215"
"V32","0.03100000","0.01863605"
"V33","0.03200000","0.01894149"
"V34","0.03300000","0.01923897"
"V35","0.0340000","0.0195297"
"V36","0.03500000","0.01981487"
"V37","0.03600000","0.02009571"
"V38","0.03700000","0.02037347"
"V39","0.0380000","0.0206494"
"V40","0.03900000","0.02092477"
"V41","0.04000000","0.02120087"
"V42","0.04100000","0.02147899"
"V43","0.04200000","0.02176043"
"V44","0.04300000","0.02204651"
"V45","0.04400000","0.02233855"
"V46","0.04500000","0.02263786"
"V47","0.04600000","0.02294578"
"V48","0.04700000","0.02326365"
"V49","0.04800000","0.02359278"
"V50","0.04900000","0.02393452"
"V51","0.05000000","0.02429018"
"V52","0.0510000","0.0246611"
"V53","0.05200000","0.02504861"
"V54","0.053000","0.025454"
"V55","0.05400000","0.02587859"
"V56","0.05500000","0.02632367"
"V57","0.05600000","0.02679054"
"V58","0.05700000","0.02728047"
"V59","0.05800000","0.02779471"
"V60","0.05900000","0.02833452"
"V61","0.06000000","0.02890112"
"V62","0.06100000","0.02949572"
"V63","0.06200000","0.03011952"
"V64","0.0630000","0.0307737"
"V65","0.06400000","0.03145939"
"V66","0.06500000","0.03217773"
"V67","0.06600000","0.03292982"
"V68","0.06700000","0.03371674"
"V69","0.06800000","0.03453953"
"V70","0.06900000","0.03539923"
"V71","0.07000000","0.03629681"
"V72","0.07100000","0.03723324"
"V73","0.07200000","0.03820946"
"V74","0.07300000","0.03922636"
"V75","0.0740000","0.0402848"
"V76","0.07500000","0.04138561"
"V77","0.07600000","0.04252958"
"V78","0.07700000","0.04371748"
"V79","0.07800","0.04495"
"V80","0.07900000","0.04622784"
"V81","0.08000000","0.04755164"
"V82","0.08100000","0.04892199"
"V83","0.08200000","0.05033944"
"V84","0.08300000","0.05180451"
"V85","0.08400000","0.05331768"
"V86","0.08500000","0.05487937"
"V87","0.08600000","0.05648997"
"V88","0.08700000","0.05814982"
"V89","0.0880000","0.0598592"
"V90","0.08900000","0.06161838"
"V91","0.09000000","0.06342754"
"V92","0.09100000","0.06528686"
"V93","0.09200000","0.06719642"
"V94","0.09300000","0.06915631"
"V95","0.09400000","0.07116652"
"V96","0.09500000","0.07322704"
"V97","0.09600000","0.07533776"
"V98","0.09700000","0.07749857"
"V99","0.09800000","0.07970929"
"V100","0.09900000","0.08196968"
"V101","0.10000000","0.08427948"
"V102","0.10100000","0.08663836"
"V103","0.10200000","0.08904595"
"V104","0.10300000","0.09150183"
"V105","0.10400000","0.09400553"
"V106","0.10500000","0.09655654"
"V107","0.10600000","0.09915431"
"V108","0.1070000","0.1017982"
"V109","0.1080000","0.1044876"
