"","V1","V2"
"V1","0","0"
"V2","0.00100000","0.01624623"
"V3","0.00200000","0.01907666"
"V4","0.00300000","0.07783502"
"V5","0.00400000","0.09710113"
"V6","0.0050000","0.1100983"
"V7","0.0060000","0.1140644"
"V8","0.007000","0.161806"
"V9","0.0080000","0.1691944"
"V10","0.0090000","0.1696538"
"V11","0.0100000","0.1632206"
"V12","0.0110000","0.1446276"
"V13","0.0120000","0.1820632"
"V14","0.0130000","0.1533543"
"V15","0.0140000","0.1927537"
"V16","0.0150000","0.2190712"
"V17","0.0160000","0.2018209"
"V18","0.0170000","0.1336229"
"V19","0.0180000","0.0979758"
"V20","0.01900000","0.08093997"
"V21","0.02000000","0.07973665"
"V22","0.0210000","0.1336905"
"V23","0.0220000","0.1694644"
"V24","0.0230000","0.1383423"
"V25","0.024000","0.144092"
"V26","0.0250000","0.1415496"
"V27","0.0260000","0.1942585"
"V28","0.0270000","0.2467265"
"V29","0.0280000","0.2893635"
"V30","0.0290000","0.2665941"
"V31","0.0300000","0.2520178"
"V32","0.0310000","0.2612672"
"V33","0.0320000","0.2433317"
"V34","0.0330000","0.2620273"
"V35","0.0340000","0.2922032"
"V36","0.0350000","0.2796664"
"V37","0.0360000","0.2963385"
"V38","0.0370000","0.3085125"
"V39","0.0380000","0.3015479"
"V40","0.0390000","0.3262624"
"V41","0.0400000","0.2710874"
"V42","0.0410000","0.2556441"
"V43","0.0420000","0.2527831"
"V44","0.0430000","0.2990798"
"V45","0.0440000","0.2838883"
"V46","0.0450000","0.2541695"
"V47","0.0460000","0.2617939"
"V48","0.0470000","0.2595547"
"V49","0.0480000","0.2530536"
"V50","0.0490000","0.2475217"
"V51","0.0500000","0.2354018"
"V52","0.0510000","0.1859584"
"V53","0.0520000","0.2207021"
"V54","0.0530000","0.2091486"
"V55","0.0540000","0.1720683"
"V56","0.055000","0.114201"
"V57","0.0560000","0.0820376"
"V58","0.05700000","0.09188443"
"V59","0.05800000","0.07315253"
"V60","0.05900000","0.05876512"
"V61","0.0600000","0.0516905"
"V62","0.06100000","0.04894678"
"V63","0.06200000","0.03983196"
"V64","0.06300000","0.07511093"
"V65","0.06400000","0.03820143"
"V66","0.06500000","0.04659157"
"V67","0.06600000","0.03710316"
"V68","0.0670000","0.0399474"
"V69","0.06800000","0.01791422"
"V70","0.06900000","0.03769592"
