"","V1","V2"
"V1","0","3"
"V2","0.001000","3.007833"
"V3","0.002000","3.037652"
"V4","0.003000","3.025846"
"V5","0.004000","2.987917"
"V6","0.0050","2.9899"
"V7","0.006000","2.988101"
"V8","0.007000","3.004385"
"V9","0.00800","2.98936"
"V10","0.009000","2.978454"
"V11","0.010000","2.936077"
"V12","0.011000","2.930612"
"V13","0.012000","2.922842"
"V14","0.013000","2.920768"
"V15","0.014000","2.925627"
"V16","0.015000","2.939769"
"V17","0.016000","2.929345"
"V18","0.017000","2.924955"
"V19","0.018000","2.926208"
"V20","0.019000","2.885658"
"V21","0.020000","2.893201"
"V22","0.021000","2.894567"
"V23","0.022000","2.930057"
"V24","0.023000","2.981002"
"V25","0.024000","2.972672"
"V26","0.025000","2.991845"
"V27","0.026000","2.979141"
"V28","0.027000","2.923986"
"V29","0.028000","2.886733"
"V30","0.02900","2.87725"
"V31","0.030000","2.890941"
"V32","0.03100","2.90681"
"V33","0.032000","2.880642"
"V34","0.033000","2.872287"
"V35","0.034000","2.897913"
"V36","0.035000","2.884075"
"V37","0.03600","2.87532"
"V38","0.037000","2.851649"
"V39","0.038000","2.834541"
"V40","0.039000","2.841109"
"V41","0.040000","2.855661"
"V42","0.041000","2.869433"
"V43","0.042000","2.882369"
"V44","0.043000","2.922611"
"V45","0.044000","2.947092"
"V46","0.045000","2.991216"
"V47","0.046000","3.000536"
"V48","0.047000","2.993841"
"V49","0.048000","3.026546"
"V50","0.049000","2.967261"
"V51","0.05000","2.94246"
"V52","0.051000","2.938552"
"V53","0.052000","2.952958"
"V54","0.053000","2.948378"
"V55","0.054000","2.937159"
"V56","0.055000","2.932406"
"V57","0.056000","2.965041"
"V58","0.057000","2.938886"
"V59","0.058000","2.940038"
"V60","0.059000","2.952145"
"V61","0.060000","2.958765"
"V62","0.061000","2.987199"
"V63","0.062000","2.946643"
"V64","0.063000","2.908953"
"V65","0.064000","2.877331"
"V66","0.065000","2.884599"
"V67","0.066000","2.891659"
"V68","0.067000","2.883982"
"V69","0.068000","2.887524"
"V70","0.069000","2.950548"
"V71","0.070000","2.967303"
"V72","0.071000","3.003921"
"V73","0.072000","2.986015"
"V74","0.073000","2.987039"
"V75","0.074000","2.993255"
"V76","0.075000","2.995026"
"V77","0.076000","2.960261"
"V78","0.077000","2.960156"
"V79","0.078000","2.902636"
"V80","0.079000","2.872641"
"V81","0.080000","2.896522"
"V82","0.081000","2.881294"
"V83","0.082000","2.858168"
"V84","0.08300","2.84311"
"V85","0.084000","2.815987"
"V86","0.085000","2.815459"
"V87","0.086000","2.811391"
"V88","0.087000","2.829571"
"V89","0.088000","2.806576"
"V90","0.089000","2.749512"
"V91","0.090000","2.786466"
"V92","0.091000","2.790772"
"V93","0.092000","2.769997"
"V94","0.093000","2.772236"
"V95","0.094000","2.802804"
"V96","0.095000","2.805608"
"V97","0.096000","2.805129"
"V98","0.097000","2.790345"
"V99","0.098000","2.801706"
"V100","0.099000","2.802293"
"V101","0.100000","2.785111"
"V102","0.101000","2.823614"
"V103","0.10200","2.76721"
"V104","0.103000","2.790314"
"V105","0.104000","2.762288"
"V106","0.105000","2.756252"
"V107","0.106000","2.731481"
"V108","0.107000","2.724457"
"V109","0.108000","2.691006"
"V110","0.109000","2.690943"
"V111","0.110000","2.713916"
"V112","0.111000","2.709466"
"V113","0.112000","2.743976"
"V114","0.113000","2.756348"
"V115","0.114000","2.790843"
"V116","0.115000","2.792444"
"V117","0.116000","2.802592"
"V118","0.11700","2.80838"
"V119","0.11800","2.80858"
"V120","0.119000","2.803216"
"V121","0.120000","2.781258"
"V122","0.121000","2.737999"
"V123","0.122000","2.742368"
"V124","0.123000","2.729564"
"V125","0.124000","2.716696"
"V126","0.125000","2.716826"
"V127","0.12600","2.67531"
"V128","0.127000","2.674929"
"V129","0.128000","2.683394"
"V130","0.129000","2.649605"
"V131","0.130000","2.677542"
"V132","0.131000","2.697107"
"V133","0.132000","2.681917"
"V134","0.133000","2.712766"
"V135","0.134000","2.728668"
"V136","0.135000","2.671189"
"V137","0.13600","2.67395"
"V138","0.137000","2.674525"
"V139","0.138000","2.642635"
"V140","0.139000","2.633846"
"V141","0.140000","2.665038"
"V142","0.141000","2.684358"
"V143","0.142000","2.666572"
"V144","0.143000","2.653017"
"V145","0.144000","2.656714"
"V146","0.145000","2.654232"
"V147","0.146000","2.669201"
"V148","0.147000","2.647515"
"V149","0.148000","2.587034"
"V150","0.149000","2.557252"
"V151","0.150000","2.581298"
"V152","0.151000","2.593977"
"V153","0.152000","2.605188"
"V154","0.153000","2.594425"
"V155","0.154000","2.602072"
"V156","0.155000","2.599227"
"V157","0.156000","2.618509"
"V158","0.157000","2.640221"
"V159","0.158000","2.641227"
"V160","0.159000","2.669021"
"V161","0.160000","2.729062"
"V162","0.161000","2.709455"
"V163","0.162000","2.751676"
"V164","0.16300","2.82783"
"V165","0.1640","2.8158"
"V166","0.165000","2.785555"
"V167","0.166000","2.768588"
"V168","0.167000","2.730605"
"V169","0.168000","2.699095"
"V170","0.169000","2.678682"
"V171","0.170000","2.660644"
"V172","0.171000","2.673114"
"V173","0.172000","2.726483"
"V174","0.173000","2.760721"
"V175","0.174000","2.743967"
"V176","0.175000","2.735511"
"V177","0.176000","2.717576"
"V178","0.177000","2.671532"
"V179","0.178000","2.682637"
"V180","0.179000","2.708611"
"V181","0.180000","2.688473"
"V182","0.181000","2.718553"
"V183","0.182000","2.744659"
"V184","0.183000","2.754794"
"V185","0.184000","2.779853"
"V186","0.185000","2.790455"
"V187","0.186000","2.813649"
"V188","0.187000","2.849736"
"V189","0.188000","2.827743"
"V190","0.189000","2.825919"
"V191","0.190000","2.847347"
"V192","0.191000","2.884489"
"V193","0.192000","2.878217"
"V194","0.193000","2.837197"
"V195","0.194000","2.822197"
"V196","0.195000","2.815291"
"V197","0.196000","2.850524"
"V198","0.197000","2.855488"
"V199","0.198000","2.842911"
"V200","0.199000","2.862521"
"V201","0.200000","2.858696"
"V202","0.201000","2.855736"
"V203","0.202000","2.823679"
"V204","0.203000","2.826462"
"V205","0.204000","2.862635"
"V206","0.205000","2.879064"
"V207","0.206000","2.874565"
"V208","0.207000","2.830521"
"V209","0.208000","2.846538"
"V210","0.209000","2.875111"
"V211","0.21000","2.86946"
"V212","0.211000","2.850282"
"V213","0.212000","2.832414"
"V214","0.2130","2.8254"
"V215","0.214000","2.802184"
"V216","0.215000","2.862172"
"V217","0.216000","2.806699"
"V218","0.217000","2.770522"
"V219","0.21800","2.76629"
"V220","0.219000","2.777138"
"V221","0.220000","2.782427"
"V222","0.22100","2.80095"
"V223","0.222000","2.747895"
"V224","0.223000","2.718289"
"V225","0.224000","2.734099"
"V226","0.22500","2.73795"
"V227","0.226000","2.757665"
"V228","0.227000","2.779151"
"V229","0.228000","2.761412"
"V230","0.2290","2.7466"
"V231","0.230000","2.777647"
"V232","0.231000","2.816474"
"V233","0.232000","2.845565"
"V234","0.233000","2.841631"
"V235","0.23400","2.84544"
"V236","0.23500","2.80466"
"V237","0.236000","2.785099"
"V238","0.237000","2.803765"
"V239","0.238000","2.775973"
"V240","0.239000","2.762873"
"V241","0.240000","2.747152"
"V242","0.241000","2.728003"
"V243","0.242000","2.755083"
"V244","0.243000","2.790803"
"V245","0.244000","2.799958"
"V246","0.245000","2.817005"
"V247","0.246000","2.788424"
"V248","0.247000","2.727264"
"V249","0.248000","2.739589"
"V250","0.24900","2.76769"
"V251","0.250000","2.764196"
"V252","0.251000","2.794482"
"V253","0.25200","2.72842"
"V254","0.253000","2.731159"
"V255","0.254000","2.719903"
"V256","0.255000","2.699049"
"V257","0.256000","2.713074"
"V258","0.2570","2.6987"
"V259","0.258000","2.679864"
"V260","0.259000","2.670792"
"V261","0.260000","2.681867"
"V262","0.261000","2.702573"
"V263","0.262000","2.721255"
"V264","0.263000","2.739515"
"V265","0.264000","2.689344"
"V266","0.265000","2.693602"
"V267","0.266000","2.715551"
"V268","0.267000","2.659937"
"V269","0.268000","2.663555"
"V270","0.269000","2.634677"
"V271","0.270000","2.640114"
"V272","0.271000","2.685643"
"V273","0.272000","2.722279"
"V274","0.27300","2.72732"
"V275","0.274000","2.715505"
"V276","0.275000","2.731054"
"V277","0.276000","2.716084"
"V278","0.277000","2.723536"
"V279","0.27800","2.79303"
"V280","0.279000","2.786535"
"V281","0.280000","2.763666"
"V282","0.281000","2.713115"
"V283","0.282000","2.714529"
"V284","0.283000","2.742414"
"V285","0.284000","2.776341"
"V286","0.285000","2.840544"
"V287","0.286000","2.834095"
"V288","0.287000","2.790005"
"V289","0.28800","2.75457"
"V290","0.289000","2.761512"
"V291","0.290000","2.796152"
"V292","0.291000","2.757857"
"V293","0.292000","2.751304"
"V294","0.293000","2.760791"
"V295","0.294000","2.772597"
"V296","0.295000","2.780728"
"V297","0.296000","2.740709"
"V298","0.297000","2.714172"
"V299","0.298000","2.681378"
"V300","0.299000","2.638662"
"V301","0.300000","2.622787"
"V302","0.301000","2.639089"
"V303","0.302000","2.687954"
"V304","0.303000","2.728357"
"V305","0.304000","2.744707"
"V306","0.305000","2.742107"
"V307","0.306000","2.733172"
"V308","0.307000","2.722649"
"V309","0.308000","2.742201"
"V310","0.309000","2.724936"
"V311","0.310000","2.718611"
"V312","0.311000","2.716434"
"V313","0.312000","2.750486"
"V314","0.313000","2.707002"
"V315","0.314000","2.666072"
"V316","0.315000","2.687301"
"V317","0.316000","2.711203"
"V318","0.317000","2.690375"
"V319","0.31800","2.70413"
"V320","0.319000","2.691117"
"V321","0.320000","2.682793"
"V322","0.3210","2.7235"
"V323","0.322000","2.708919"
"V324","0.323000","2.709703"
"V325","0.324000","2.749962"
"V326","0.325000","2.728184"
"V327","0.326000","2.752605"
"V328","0.327000","2.739169"
"V329","0.328000","2.682793"
"V330","0.32900","2.67199"
"V331","0.33000","2.66184"
"V332","0.331000","2.602188"
"V333","0.332000","2.589888"
"V334","0.333000","2.603473"
"V335","0.334000","2.559983"
"V336","0.335000","2.591721"
"V337","0.336000","2.625302"
"V338","0.337000","2.608691"
"V339","0.338000","2.615175"
"V340","0.339000","2.551896"
"V341","0.340000","2.505642"
"V342","0.341000","2.494697"
"V343","0.342000","2.469035"
"V344","0.34300","2.44496"
"V345","0.344000","2.449129"
"V346","0.345000","2.501352"
"V347","0.346000","2.517605"
"V348","0.347000","2.471975"
"V349","0.348000","2.480236"
"V350","0.349000","2.453003"
"V351","0.350000","2.433527"
"V352","0.351000","2.359875"
"V353","0.352000","2.343727"
"V354","0.353000","2.363073"
"V355","0.354000","2.358412"
"V356","0.355000","2.409273"
"V357","0.356000","2.435259"
"V358","0.357000","2.434325"
"V359","0.358000","2.408399"
"V360","0.359000","2.395874"
"V361","0.360000","2.362165"
"V362","0.361000","2.276464"
"V363","0.362000","2.243953"
"V364","0.363000","2.259523"
"V365","0.364000","2.259412"
"V366","0.365000","2.256142"
"V367","0.366000","2.260966"
"V368","0.367000","2.264377"
"V369","0.368000","2.283788"
"V370","0.369000","2.285276"
"V371","0.370000","2.252667"
"V372","0.371000","2.184107"
"V373","0.372000","2.139155"
"V374","0.373000","2.173639"
"V375","0.374000","2.142321"
"V376","0.375000","2.151021"
"V377","0.376000","2.154326"
"V378","0.377000","2.184928"
"V379","0.378000","2.145427"
"V380","0.379000","2.157331"
"V381","0.380000","2.140027"
"V382","0.3810","2.1448"
"V383","0.38200","2.15433"
"V384","0.383000","2.128328"
"V385","0.384000","2.174136"
"V386","0.38500","2.15957"
"V387","0.386000","2.149459"
"V388","0.387000","2.168877"
"V389","0.388000","2.217375"
"V390","0.389000","2.210846"
"V391","0.390000","2.201906"
"V392","0.391000","2.170951"
"V393","0.392000","2.224394"
"V394","0.393000","2.233171"
"V395","0.394000","2.232336"
"V396","0.395000","2.198603"
"V397","0.396000","2.167081"
"V398","0.39700","2.17952"
"V399","0.398000","2.142793"
"V400","0.399000","2.125515"
"V401","0.400000","2.111411"
"V402","0.40100","2.14583"
"V403","0.402000","2.129668"
"V404","0.403000","2.136005"
"V405","0.404000","2.138397"
"V406","0.4050","2.1394"
"V407","0.406000","2.159852"
"V408","0.407000","2.119021"
"V409","0.408000","2.118381"
"V410","0.409000","2.157907"
"V411","0.410000","2.152146"
"V412","0.411000","2.133582"
"V413","0.412000","2.100351"
"V414","0.413000","2.076816"
"V415","0.414000","2.037309"
"V416","0.415000","2.034253"
"V417","0.416000","2.044458"
"V418","0.417000","2.033274"
"V419","0.418000","2.046852"
"V420","0.419000","2.057581"
"V421","0.420000","2.054718"
"V422","0.421000","2.065393"
"V423","0.42200","2.05099"
"V424","0.423000","2.041552"
"V425","0.424000","2.075156"
"V426","0.425000","2.043421"
"V427","0.426000","2.050975"
"V428","0.427000","1.995919"
"V429","0.428000","1.989908"
"V430","0.429000","2.010588"
"V431","0.430000","1.991572"
"V432","0.431000","1.973586"
"V433","0.432000","1.967648"
"V434","0.433000","2.008896"
"V435","0.434000","2.032851"
"V436","0.4350","2.0295"
"V437","0.436000","2.043022"
"V438","0.437000","2.080194"
"V439","0.438000","2.055942"
"V440","0.43900","2.03114"
"V441","0.440000","1.993447"
"V442","0.44100","1.96299"
"V443","0.442000","1.924641"
"V444","0.443000","1.911995"
"V445","0.444000","1.911223"
"V446","0.44500","1.90404"
"V447","0.446000","1.931521"
"V448","0.447000","1.942956"
"V449","0.448000","1.913067"
"V450","0.449000","1.890786"
"V451","0.450000","1.848527"
"V452","0.45100","1.83543"
"V453","0.452000","1.865855"
"V454","0.453000","1.832355"
"V455","0.45400","1.81971"
"V456","0.455000","1.850545"
"V457","0.456000","1.858585"
"V458","0.457000","1.851221"
"V459","0.458000","1.874823"
"V460","0.459000","1.837865"
"V461","0.460000","1.811635"
"V462","0.461000","1.780987"
"V463","0.462000","1.780583"
"V464","0.463000","1.756039"
"V465","0.464000","1.753026"
"V466","0.465000","1.773949"
"V467","0.466000","1.756907"
"V468","0.467000","1.798616"
"V469","0.468000","1.831175"
"V470","0.469000","1.777032"
"V471","0.470000","1.759088"
"V472","0.471000","1.828227"
"V473","0.472000","1.800123"
"V474","0.473000","1.796571"
"V475","0.474000","1.782068"
"V476","0.475000","1.754857"
"V477","0.476000","1.755685"
"V478","0.477000","1.772644"
"V479","0.478000","1.789152"
"V480","0.479000","1.799842"
"V481","0.480000","1.782732"
"V482","0.481000","1.748925"
"V483","0.482000","1.753773"
"V484","0.483000","1.754404"
"V485","0.484000","1.720277"
"V486","0.485000","1.716855"
"V487","0.486000","1.703568"
"V488","0.487000","1.686985"
"V489","0.488000","1.655815"
"V490","0.48900","1.63947"
"V491","0.490000","1.692835"
"V492","0.491000","1.711985"
"V493","0.492000","1.656854"
"V494","0.493000","1.644298"
"V495","0.494000","1.635667"
"V496","0.495000","1.630889"
"V497","0.496000","1.641708"
"V498","0.497000","1.648791"
"V499","0.498000","1.665362"
"V500","0.499000","1.652827"
"V501","0.500000","1.673529"
"V502","0.501000","1.619233"
"V503","0.502000","1.576105"
"V504","0.503000","1.576962"
"V505","0.504000","1.583163"
"V506","0.505000","1.557138"
"V507","0.506000","1.526002"
"V508","0.507000","1.465637"
"V509","0.508000","1.471356"
"V510","0.509000","1.436345"
"V511","0.51000","1.41562"
"V512","0.511000","1.436405"
"V513","0.512000","1.427482"
"V514","0.513000","1.420942"
"V515","0.514000","1.400229"
"V516","0.515000","1.410117"
"V517","0.51600","1.40561"
"V518","0.517000","1.466456"
"V519","0.518000","1.486045"
"V520","0.519000","1.494516"
"V521","0.520000","1.525411"
"V522","0.521000","1.541578"
"V523","0.522000","1.499946"
"V524","0.523000","1.531842"
"V525","0.524000","1.547008"
"V526","0.525000","1.516147"
"V527","0.52600","1.51212"
"V528","0.527000","1.548451"
"V529","0.528000","1.532411"
"V530","0.529000","1.558212"
"V531","0.530000","1.525369"
"V532","0.531000","1.494335"
"V533","0.532000","1.493051"
"V534","0.533000","1.542662"
"V535","0.534000","1.552102"
"V536","0.535000","1.494962"
"V537","0.536000","1.479027"
"V538","0.537000","1.474709"
"V539","0.538000","1.495071"
"V540","0.539000","1.514135"
"V541","0.540000","1.510354"
"V542","0.541000","1.512684"
"V543","0.542000","1.493153"
"V544","0.543000","1.510483"
"V545","0.544000","1.482192"
"V546","0.545000","1.444571"
"V547","0.546000","1.459381"
"V548","0.547000","1.499602"
"V549","0.548000","1.492251"
"V550","0.5490","1.4492"
"V551","0.550000","1.465272"
"V552","0.551000","1.493686"
"V553","0.552000","1.562311"
"V554","0.553000","1.564568"
"V555","0.554000","1.577076"
"V556","0.555000","1.598108"
"V557","0.556000","1.589928"
"V558","0.557000","1.574014"
"V559","0.558000","1.596399"
"V560","0.559000","1.566896"
"V561","0.560000","1.543562"
"V562","0.561000","1.572439"
"V563","0.562000","1.577185"
"V564","0.563000","1.592537"
"V565","0.564000","1.543981"
"V566","0.565000","1.529694"
"V567","0.566000","1.606302"
"V568","0.567000","1.629968"
"V569","0.568000","1.663691"
"V570","0.569000","1.648471"
"V571","0.570000","1.643456"
"V572","0.571000","1.598972"
"V573","0.572000","1.621912"
"V574","0.573000","1.664159"
"V575","0.574000","1.682067"
"V576","0.575000","1.723671"
"V577","0.576000","1.726447"
"V578","0.577000","1.753911"
"V579","0.578000","1.753294"
"V580","0.579000","1.777993"
"V581","0.580000","1.707269"
"V582","0.581000","1.736659"
"V583","0.582000","1.729525"
"V584","0.583000","1.705979"
"V585","0.584000","1.661709"
"V586","0.585000","1.682267"
"V587","0.586000","1.759383"
"V588","0.587000","1.752948"
"V589","0.588000","1.741321"
"V590","0.589000","1.719393"
"V591","0.59000","1.69006"
"V592","0.591000","1.705829"
"V593","0.592000","1.699364"
"V594","0.593000","1.700795"
"V595","0.594000","1.683867"
"V596","0.595000","1.684506"
"V597","0.596000","1.651314"
"V598","0.597000","1.674971"
"V599","0.598000","1.665672"
"V600","0.599000","1.615417"
"V601","0.600000","1.589083"
"V602","0.601000","1.565116"
"V603","0.602000","1.560646"
"V604","0.603000","1.534574"
"V605","0.604000","1.493995"
"V606","0.605000","1.522114"
"V607","0.606000","1.543858"
"V608","0.607000","1.545223"
"V609","0.608000","1.618146"
"V610","0.609000","1.622621"
"V611","0.610000","1.610422"
"V612","0.611000","1.615115"
"V613","0.61200","1.58517"
"V614","0.613000","1.593081"
"V615","0.614000","1.634426"
"V616","0.615000","1.657121"
"V617","0.616000","1.670567"
"V618","0.61700","1.69439"
"V619","0.618000","1.697904"
"V620","0.619000","1.684945"
"V621","0.620000","1.682387"
"V622","0.621000","1.709146"
"V623","0.6220","1.7228"
"V624","0.623000","1.703032"
"V625","0.624000","1.696455"
"V626","0.625000","1.720125"
"V627","0.626000","1.667404"
"V628","0.627000","1.649107"
"V629","0.628000","1.636467"
"V630","0.629000","1.648147"
"V631","0.63000","1.65364"
"V632","0.631000","1.631838"
"V633","0.632000","1.633392"
"V634","0.633000","1.659398"
"V635","0.634000","1.613244"
"V636","0.635000","1.571476"
"V637","0.636000","1.569525"
"V638","0.637000","1.546748"
"V639","0.638000","1.525483"
"V640","0.639000","1.525728"
"V641","0.64000","1.51543"
"V642","0.641000","1.503104"
"V643","0.642000","1.490582"
"V644","0.643000","1.403174"
"V645","0.644000","1.389145"
"V646","0.6450","1.4123"
"V647","0.646000","1.427751"
"V648","0.647000","1.421393"
"V649","0.648000","1.395623"
"V650","0.649000","1.412852"
"V651","0.65000","1.39523"
"V652","0.651000","1.403813"
"V653","0.652000","1.422544"
"V654","0.653000","1.424819"
"V655","0.654000","1.421597"
"V656","0.655000","1.398933"
"V657","0.656000","1.437881"
"V658","0.657000","1.479392"
"V659","0.65800","1.50327"
"V660","0.659000","1.541959"
"V661","0.660000","1.575751"
"V662","0.661000","1.587053"
"V663","0.66200","1.55841"
"V664","0.66300","1.60081"
"V665","0.664000","1.628566"
"V666","0.665000","1.652664"
"V667","0.666000","1.656199"
"V668","0.667000","1.644091"
"V669","0.668000","1.682027"
"V670","0.66900","1.73379"
"V671","0.670000","1.716111"
"V672","0.671000","1.708746"
"V673","0.672000","1.671861"
"V674","0.673000","1.693887"
"V675","0.674000","1.724977"
"V676","0.675000","1.771051"
"V677","0.676000","1.787403"
"V678","0.677000","1.816991"
"V679","0.678000","1.873317"
"V680","0.679000","1.875138"
"V681","0.680000","1.854751"
"V682","0.681000","1.893913"
"V683","0.682000","1.869766"
"V684","0.683000","1.870304"
"V685","0.684000","1.830368"
"V686","0.685000","1.815262"
"V687","0.686000","1.856632"
"V688","0.687000","1.844875"
"V689","0.688000","1.847436"
"V690","0.689000","1.858394"
"V691","0.690000","1.884026"
"V692","0.691000","1.895161"
"V693","0.692000","1.938892"
"V694","0.693000","1.894555"
"V695","0.694000","1.883725"
"V696","0.695000","1.890281"
"V697","0.696000","1.870928"
"V698","0.697000","1.859951"
"V699","0.698000","1.898322"
"V700","0.699000","1.916027"
"V701","0.700000","1.878084"
"V702","0.70100","1.89182"
"V703","0.702000","1.871156"
"V704","0.703000","1.852123"
"V705","0.704000","1.891118"
"V706","0.70500","1.90008"
"V707","0.706000","1.893242"
"V708","0.707000","1.882285"
"V709","0.708000","1.898051"
"V710","0.709000","1.926279"
"V711","0.710000","1.963485"
"V712","0.711000","2.017828"
"V713","0.712000","2.072515"
"V714","0.713000","2.061934"
"V715","0.714000","2.049566"
"V716","0.715000","2.084714"
"V717","0.716000","2.070963"
"V718","0.717000","2.122077"
"V719","0.718000","2.125624"
"V720","0.719000","2.079895"
"V721","0.720000","2.038547"
"V722","0.72100","2.03344"
"V723","0.722000","2.009496"
"V724","0.723000","1.971917"
"V725","0.724000","1.901972"
"V726","0.725000","1.868978"
"V727","0.726000","1.815612"
"V728","0.72700","1.83808"
"V729","0.728000","1.843933"
"V730","0.729000","1.814596"
"V731","0.730000","1.757708"
"V732","0.73100","1.75481"
"V733","0.732000","1.750316"
"V734","0.733000","1.754979"
"V735","0.734000","1.716961"
"V736","0.735000","1.707026"
