"","V1","V2","V3"
"V1"," 0.0","-0.5","-0.5"
"V2"," 0.0010000","-0.5001499","-0.5001499"
"V3"," 0.0020000","-0.5002997","-0.5002997"
"V4"," 0.0030000","-0.5004494","-0.5004494"
"V5"," 0.004000","-0.500599","-0.500599"
"V6"," 0.0050000","-0.5007485","-0.5007485"
"V7"," 0.0060000","-0.5008979","-0.5008979"
"V8"," 0.0070000","-0.5010473","-0.5010473"
"V9"," 0.0080000","-0.5011965","-0.5011965"
"V10"," 0.0090000","-0.5013457","-0.5013457"
"V11"," 0.0100000","-0.5014947","-0.5014947"
"V12"," 0.0110000","-0.5016437","-0.5016437"
"V13"," 0.0120000","-0.5017926","-0.5017926"
"V14"," 0.0130000","-0.5019414","-0.5019414"
"V15"," 0.01400","-0.50209","-0.50209"
"V16"," 0.0150000","-0.5022386","-0.5022386"
"V17"," 0.0160000","-0.5023872","-0.5023872"
"V18"," 0.0170000","-0.5025356","-0.5025356"
"V19"," 0.0180000","-0.5026839","-0.5026839"
"V20"," 0.0190000","-0.5028321","-0.5028321"
"V21"," 0.0200000","-0.5029803","-0.5029803"
"V22"," 0.0210000","-0.5031283","-0.5031283"
"V23"," 0.0220000","-0.5032762","-0.5032762"
"V24"," 0.0230000","-0.5034241","-0.5034241"
"V25"," 0.0240000","-0.5035719","-0.5035719"
"V26"," 0.0250000","-0.5037195","-0.5037195"
"V27"," 0.0260000","-0.5038671","-0.5038671"
"V28"," 0.0270000","-0.5040146","-0.5040146"
"V29"," 0.0280000","-0.5041619","-0.5041619"
"V30"," 0.0290000","-0.5043092","-0.5043092"
"V31"," 0.0300000","-0.5044564","-0.5044564"
"V32"," 0.0310000","-0.5046035","-0.5046035"
"V33"," 0.0320000","-0.5047505","-0.5047505"
"V34"," 0.0330000","-0.5048974","-0.5048974"
"V35"," 0.0340000","-0.5050442","-0.5050442"
"V36"," 0.0350000","-0.5051909","-0.5051909"
"V37"," 0.0360000","-0.5053376","-0.5053376"
"V38"," 0.0370000","-0.5054841","-0.5054841"
"V39"," 0.0380000","-0.5056305","-0.5056305"
"V40"," 0.0390000","-0.5057768","-0.5057768"
"V41"," 0.040000","-0.505923","-0.505923"
"V42"," 0.0410000","-0.5060692","-0.5060692"
"V43"," 0.0420000","-0.5062152","-0.5062152"
"V44"," 0.0430000","-0.5063611","-0.5063611"
"V45"," 0.044000","-0.506507","-0.506507"
"V46"," 0.0450000","-0.5066527","-0.5066527"
"V47"," 0.0460000","-0.5067983","-0.5067983"
"V48"," 0.0470000","-0.5069439","-0.5069439"
"V49"," 0.0480000","-0.5070893","-0.5070893"
"V50"," 0.0490000","-0.5072347","-0.5072347"
"V51"," 0.0500000","-0.5073799","-0.5073799"
"V52"," 0.0510000","-0.5075251","-0.5075251"
"V53"," 0.0520000","-0.5076701","-0.5076701"
"V54"," 0.053000","-0.507815","-0.507815"
"V55"," 0.0540000","-0.5079599","-0.5079599"
"V56"," 0.0550000","-0.5081046","-0.5081046"
"V57"," 0.0560000","-0.5082493","-0.5082493"
"V58"," 0.0570000","-0.5083938","-0.5083938"
"V59"," 0.0580000","-0.5085383","-0.5085383"
"V60"," 0.0590000","-0.5086826","-0.5086826"
"V61"," 0.0600000","-0.5088268","-0.5088268"
"V62"," 0.061000","-0.508971","-0.508971"
"V63"," 0.062000","-0.509115","-0.509115"
"V64"," 0.0630000","-0.5092589","-0.5092589"
"V65"," 0.0640000","-0.5094028","-0.5094028"
"V66"," 0.0650000","-0.5095465","-0.5095465"
"V67"," 0.0660000","-0.5096901","-0.5096901"
"V68"," 0.0670000","-0.5098337","-0.5098337"
"V69"," 0.0680000","-0.5099771","-0.5099771"
"V70"," 0.0690000","-0.5101204","-0.5101204"
"V71"," 0.0700000","-0.5102636","-0.5102636"
"V72"," 0.0710000","-0.5104067","-0.5104067"
"V73"," 0.0720000","-0.5105497","-0.5105497"
"V74"," 0.0730000","-0.5106926","-0.5106926"
"V75"," 0.0740000","-0.5108354","-0.5108354"
"V76"," 0.0750000","-0.5109781","-0.5109781"
"V77"," 0.0760000","-0.5111207","-0.5111207"
"V78"," 0.0770000","-0.5112632","-0.5112632"
"V79"," 0.0780000","-0.5114056","-0.5114056"
"V80"," 0.0790000","-0.5115479","-0.5115479"
"V81"," 0.08000","-0.51169","-0.51169"
"V82"," 0.0810000","-0.5118321","-0.5118321"
"V83"," 0.082000","-0.511974","-0.511974"
"V84"," 0.0830000","-0.5121159","-0.5121159"
"V85"," 0.0840000","-0.5122576","-0.5122576"
"V86"," 0.0850000","-0.5123993","-0.5123993"
"V87"," 0.0860000","-0.5125408","-0.5125408"
"V88"," 0.0870000","-0.5126822","-0.5126822"
"V89"," 0.0880000","-0.5128236","-0.5128236"
"V90"," 0.0890000","-0.5129648","-0.5129648"
"V91"," 0.0900000","-0.5131059","-0.5131059"
"V92"," 0.0910000","-0.5132469","-0.5132469"
"V93"," 0.0920000","-0.5133878","-0.5133878"
"V94"," 0.0930000","-0.5135285","-0.5135285"
"V95"," 0.0940000","-0.5136692","-0.5136692"
"V96"," 0.0950000","-0.5138098","-0.5138098"
"V97"," 0.0960000","-0.5139502","-0.5139502"
"V98"," 0.0970000","-0.5140906","-0.5140906"
"V99"," 0.0980000","-0.5142308","-0.5142308"
"V100"," 0.0990000","-0.5143709","-0.5143709"
"V101"," 0.1000000","-0.5145109","-0.5145109"
"V102"," 0.1010000","-0.5146508","-0.5146508"
"V103"," 0.1020000","-0.5147906","-0.5147906"
"V104"," 0.1030000","-0.5149303","-0.5149303"
"V105"," 0.1040000","-0.5150699","-0.5150699"
"V106"," 0.1050000","-0.5152093","-0.5152093"
"V107"," 0.1060000","-0.5153487","-0.5153487"
"V108"," 0.1070000","-0.5154879","-0.5154879"
"V109"," 0.1080000","-0.5156271","-0.5156271"
"V110"," 0.1090000","-0.5157661","-0.5157661"
"V111"," 0.110000","-0.515905","-0.515905"
"V112"," 0.1110000","-0.5160438","-0.5160438"
"V113"," 0.1120000","-0.5161824","-0.5161824"
"V114"," 0.113000","-0.516321","-0.516321"
"V115"," 0.1140000","-0.5164595","-0.5164595"
"V116"," 0.1150000","-0.5165978","-0.5165978"
"V117"," 0.116000","-0.516736","-0.516736"
"V118"," 0.1170000","-0.5168741","-0.5168741"
"V119"," 0.1180000","-0.5170121","-0.5170121"
"V120"," 0.11900","-0.51715","-0.51715"
"V121"," 0.1200000","-0.5172878","-0.5172878"
"V122"," 0.1210000","-0.5174254","-0.5174254"
"V123"," 0.122000","-0.517563","-0.517563"
"V124"," 0.1230000","-0.5177004","-0.5177004"
"V125"," 0.1240000","-0.5178377","-0.5178377"
"V126"," 0.1250000","-0.5179749","-0.5179749"
"V127"," 0.126000","-0.518112","-0.518112"
"V128"," 0.1270000","-0.5182489","-0.5182489"
"V129"," 0.1280000","-0.5183858","-0.5183858"
"V130"," 0.1290000","-0.5185225","-0.5185225"
"V131"," 0.1300000","-0.5186591","-0.5186591"
"V132"," 0.1310000","-0.5187956","-0.5187956"
"V133"," 0.132000","-0.518932","-0.518932"
"V134"," 0.1330000","-0.5190682","-0.5190682"
"V135"," 0.1340000","-0.5192044","-0.5192044"
"V136"," 0.1350000","-0.5193404","-0.5193404"
"V137"," 0.1360000","-0.5194763","-0.5194763"
"V138"," 0.1370000","-0.5196121","-0.5196121"
"V139"," 0.1380000","-0.5197477","-0.5197477"
"V140"," 0.1390000","-0.5198833","-0.5198833"
"V141"," 0.1400000","-0.5200187","-0.5200187"
"V142"," 0.141000","-0.520154","-0.520154"
"V143"," 0.1420000","-0.5202892","-0.5202892"
"V144"," 0.1430000","-0.5204243","-0.5204243"
"V145"," 0.1440000","-0.5205592","-0.5205592"
"V146"," 0.145000","-0.520694","-0.520694"
"V147"," 0.1460000","-0.5208287","-0.5208287"
"V148"," 0.1470000","-0.5209633","-0.5209633"
"V149"," 0.1480000","-0.5210978","-0.5210978"
"V150"," 0.1490000","-0.5212321","-0.5212321"
"V151"," 0.1500000","-0.5213663","-0.5213663"
"V152"," 0.1510000","-0.5215004","-0.5215004"
"V153"," 0.1520000","-0.5216344","-0.5216344"
"V154"," 0.1530000","-0.5217682","-0.5217682"
"V155"," 0.154000","-0.521902","-0.521902"
"V156"," 0.1550000","-0.5220356","-0.5220356"
"V157"," 0.156000","-0.522169","-0.522169"
"V158"," 0.1570000","-0.5223024","-0.5223024"
"V159"," 0.1580000","-0.5224356","-0.5224356"
"V160"," 0.1590000","-0.5225687","-0.5225687"
"V161"," 0.1600000","-0.5227017","-0.5227017"
"V162"," 0.1610000","-0.5228346","-0.5228346"
"V163"," 0.1620000","-0.5229673","-0.5229673"
"V164"," 0.1630000","-0.5230999","-0.5230999"
"V165"," 0.1640000","-0.5232324","-0.5232324"
"V166"," 0.1650000","-0.5233647","-0.5233647"
"V167"," 0.166000","-0.523497","-0.523497"
"V168"," 0.1670000","-0.5236291","-0.5236291"
"V169"," 0.168000","-0.523761","-0.523761"
"V170"," 0.1690000","-0.5238929","-0.5238929"
"V171"," 0.1700000","-0.5240246","-0.5240246"
"V172"," 0.1710000","-0.5241562","-0.5241562"
"V173"," 0.1720000","-0.5242876","-0.5242876"
"V174"," 0.173000","-0.524419","-0.524419"
"V175"," 0.1740000","-0.5245502","-0.5245502"
"V176"," 0.1750000","-0.5246813","-0.5246813"
"V177"," 0.1760000","-0.5248122","-0.5248122"
"V178"," 0.177000","-0.524943","-0.524943"
"V179"," 0.1780000","-0.5250737","-0.5250737"
"V180"," 0.1790000","-0.5252043","-0.5252043"
"V181"," 0.1800000","-0.5253347","-0.5253347"
"V182"," 0.181000","-0.525465","-0.525465"
"V183"," 0.1820000","-0.5255952","-0.5255952"
"V184"," 0.1830000","-0.5257252","-0.5257252"
"V185"," 0.1840000","-0.5258551","-0.5258551"
"V186"," 0.1850000","-0.5259849","-0.5259849"
"V187"," 0.1860000","-0.5261145","-0.5261145"
"V188"," 0.1870000","-0.5262441","-0.5262441"
"V189"," 0.1880000","-0.5263734","-0.5263734"
"V190"," 0.1890000","-0.5265027","-0.5265027"
"V191"," 0.1900000","-0.5266318","-0.5266318"
"V192"," 0.1910000","-0.5267608","-0.5267608"
"V193"," 0.1920000","-0.5268896","-0.5268896"
"V194"," 0.1930000","-0.5270183","-0.5270183"
"V195"," 0.1940000","-0.5271469","-0.5271469"
"V196"," 0.1950000","-0.5272753","-0.5272753"
"V197"," 0.1960000","-0.5274037","-0.5274037"
"V198"," 0.1970000","-0.5275318","-0.5275318"
"V199"," 0.1980000","-0.5276599","-0.5276599"
