"","V1","V2"
"V1","0.0","0.8"
"V2","0.0010000","0.7998296"
"V3","0.0020000","0.7996544"
"V4","0.0030000","0.7994744"
"V5","0.0040000","0.7992896"
"V6","0.0050000","0.7990999"
"V7","0.0060000","0.7989053"
"V8","0.0070000","0.7987057"
"V9","0.0080000","0.7985012"
"V10","0.0090000","0.7982916"
"V11","0.0100000","0.7980769"
"V12","0.0110000","0.7978571"
"V13","0.0120000","0.7976319"
"V14","0.0130000","0.7974015"
"V15","0.0140000","0.7971657"
"V16","0.0150000","0.7969243"
"V17","0.0160000","0.7966774"
"V18","0.0170000","0.7964247"
"V19","0.0180000","0.7961662"
"V20","0.0190000","0.7959019"
"V21","0.0200000","0.7956314"
"V22","0.0210000","0.7953549"
"V23","0.022000","0.795072"
"V24","0.0230000","0.7947827"
"V25","0.0240000","0.7944868"
"V26","0.0250000","0.7941841"
"V27","0.0260000","0.7938746"
"V28","0.0270000","0.7935581"
"V29","0.0280000","0.7932343"
"V30","0.0290000","0.7929031"
"V31","0.0300000","0.7925644"
"V32","0.031000","0.792218"
"V33","0.0320000","0.7918636"
"V34","0.0330000","0.7915011"
"V35","0.0340000","0.7911304"
"V36","0.0350000","0.7907512"
"V37","0.0360000","0.7903634"
"V38","0.0370000","0.7899669"
"V39","0.0380000","0.7895613"
"V40","0.0390000","0.7891465"
"V41","0.0400000","0.7887223"
"V42","0.0410000","0.7882886"
"V43","0.0420000","0.7878451"
"V44","0.0430000","0.7873917"
"V45","0.0440000","0.7869281"
"V46","0.0450000","0.7864543"
"V47","0.04600","0.78597"
"V48","0.047000","0.785475"
"V49","0.0480000","0.7849692"
"V50","0.0490000","0.7844525"
"V51","0.0500000","0.7839245"
"V52","0.0510000","0.7833852"
"V53","0.0520000","0.7828344"
"V54","0.0530000","0.7822719"
"V55","0.0540000","0.7816975"
"V56","0.0550000","0.7811112"
"V57","0.0560000","0.7805126"
"V58","0.0570000","0.7799017"
"V59","0.0580000","0.7792784"
"V60","0.0590000","0.7786425"
"V61","0.0600000","0.7779938"
"V62","0.0610000","0.7773323"
"V63","0.0620000","0.7766578"
"V64","0.0630000","0.7759702"
"V65","0.0640000","0.7752693"
"V66","0.0650000","0.7745551"
"V67","0.0660000","0.7738274"
"V68","0.0670000","0.7730862"
"V69","0.0680000","0.7723313"
"V70","0.0690000","0.7715627"
"V71","0.0700000","0.7707803"
"V72","0.0710000","0.7699841"
"V73","0.072000","0.769174"
"V74","0.0730000","0.7683499"
"V75","0.0740000","0.7675119"
"V76","0.0750000","0.7666598"
"V77","0.0760000","0.7657937"
"V78","0.0770000","0.7649135"
"V79","0.0780000","0.7640192"
"V80","0.0790000","0.7631109"
"V81","0.0800000","0.7621885"
"V82","0.081000","0.761252"
"V83","0.0820000","0.7603015"
"V84","0.083000","0.759337"
"V85","0.0840000","0.7583586"
"V86","0.0850000","0.7573662"
"V87","0.0860000","0.7563599"
"V88","0.0870000","0.7553398"
"V89","0.088000","0.754306"
"V90","0.0890000","0.7532585"
"V91","0.0900000","0.7521975"
"V92","0.091000","0.751123"
"V93","0.0920000","0.7500351"
"V94","0.093000","0.748934"
"V95","0.0940000","0.7478199"
"V96","0.0950000","0.7466927"
"V97","0.0960000","0.7455528"
"V98","0.0970000","0.7444002"
"V99","0.0980000","0.7432351"
"V100","0.0990000","0.7420577"
"V101","0.1000000","0.7408682"
"V102","0.1010000","0.7396668"
"V103","0.1020000","0.7384535"
"V104","0.1030000","0.7372288"
"V105","0.1040000","0.7359927"
"V106","0.1050000","0.7347455"
"V107","0.1060000","0.7334875"
"V108","0.1070000","0.7322188"
"V109","0.1080000","0.7309397"
"V110","0.1090000","0.7296505"
"V111","0.1100000","0.7283514"
"V112","0.1110000","0.7270428"
"V113","0.1120000","0.7257248"
"V114","0.1130000","0.7243978"
"V115","0.1140000","0.7230621"
"V116","0.115000","0.721718"
"V117","0.1160000","0.7203658"
"V118","0.1170000","0.7190058"
"V119","0.1180000","0.7176383"
"V120","0.1190000","0.7162637"
"V121","0.1200000","0.7148824"
"V122","0.1210000","0.7134947"
"V123","0.1220000","0.7121007"
"V124","0.123000","0.710701"
"V125","0.1240000","0.7092959"
"V126","0.1250000","0.7078857"
"V127","0.126000","0.706471"
"V128","0.1270000","0.7050521"
"V129","0.1280000","0.7036294"
"V130","0.1290000","0.7022033"
"V131","0.1300000","0.7007742"
"V132","0.1310000","0.6993425"
"V133","0.1320000","0.6979087"
"V134","0.1330000","0.6964732"
"V135","0.1340000","0.6950364"
"V136","0.1350000","0.6935986"
"V137","0.1360000","0.6921604"
"V138","0.137000","0.690722"
"V139","0.1380000","0.6892841"
"V140","0.1390000","0.6878469"
"V141","0.140000","0.686411"
"V142","0.1410000","0.6849767"
"V143","0.1420000","0.6835445"
"V144","0.1430000","0.6821147"
"V145","0.144000","0.680688"
"V146","0.1450000","0.6792646"
"V147","0.146000","0.677845"
"V148","0.1470000","0.6764296"
"V149","0.148000","0.675019"
"V150","0.1490000","0.6736135"
"V151","0.1500000","0.6722136"
"V152","0.1510000","0.6708197"
"V153","0.1520000","0.6694323"
"V154","0.1530000","0.6680519"
"V155","0.1540000","0.6666788"
"V156","0.1550000","0.6653136"
"V157","0.1560000","0.6639567"
"V158","0.1570000","0.6626085"
"V159","0.1580000","0.6612695"
"V160","0.1590000","0.6599403"
