"","V1","V2","V3"
"V160","0.159000","1.631186","1.630647"
"V161","0.160000","1.620722","1.623062"
"V162","0.161000","1.611198","1.614387"
"V163","0.162000","1.602843","1.604993"
"V164","0.163000","1.595863","1.595287"
"V165","0.164000","1.590410","1.585651"
"V166","0.165000","1.586573","1.576439"
"V167","0.166000","1.584388","1.567979"
"V168","0.167000","1.583831","1.560567"
"V169","0.168000","1.584801","1.554392"
"V170","0.169000","1.587095","1.549515"
"V171","0.170000","1.590465","1.545905"
"V172","0.171000","1.594636","1.543433"
"V173","0.172000","1.599300","1.541872"
"V174","0.173000","1.604120","1.540899"
"V175","0.174000","1.608745","1.540119"
"V176","0.175000","1.612876","1.539125"
"V177","0.176000","1.616238","1.537466"
"V178","0.177000","1.618620","1.534765"
"V179","0.178000","1.619872","1.530721"
"V180","0.179000","1.619911","1.525118"
"V181","0.180000","1.618714","1.517815"
"V182","0.181000","1.616314","1.508769"
"V183","0.182000","1.612820","1.498128"
"V184","0.183000","1.608385","1.486149"
"V185","0.184000","1.603171","1.473156"
"V186","0.185000","1.597345","1.459538"
"V187","0.186000","1.591085","1.445752"
"V188","0.187000","1.584572","1.432314"
"V189","0.188000","1.577954","1.419684"
"V190","0.189000","1.571328","1.408279"
"V191","0.190000","1.564762","1.398424"
"V192","0.191000","1.558288","1.390312"
"V193","0.192000","1.551904","1.384009"
"V194","0.193000","1.545576","1.379453"
"V195","0.194000","1.539237","1.376468"
"V196","0.195000","1.532818","1.374751"
"V197","0.196000","1.526236","1.373848"
"V198","0.197000","1.519415","1.373311"
"V199","0.198000","1.512292","1.372704"
"V200","0.199000","1.504816","1.371606"
"V201","0.200000","1.496948","1.369611"
"V202","0.201000","1.488662","1.366373"
"V203","0.202000","1.479954","1.361741"
"V204","0.203000","1.470837","1.355683"
"V205","0.204000","1.461326","1.348293"
"V206","0.205000","1.451442","1.339787"
"V207","0.206000","1.441207","1.330505"
"V208","0.207000","1.430650","1.320905"
"V209","0.208000","1.419799","1.311466"
"V210","0.209000","1.408665","1.302734"
"V211","0.210000","1.397267","1.295201"
"V212","0.211000","1.385632","1.289256"
"V213","0.212000","1.373799","1.285174"
"V214","0.213000","1.361817","1.283126"
"V215","0.214000","1.349745","1.283172"
"V216","0.215000","1.337676","1.285189"
"V217","0.216000","1.325739","1.288844"
"V218","0.217000","1.314080","1.293729"
"V219","0.218000","1.302866","1.299375"
"V220","0.219000","1.292281","1.305251"
"V221","0.220000","1.282526","1.310762"
"V222","0.221000","1.273804","1.315306"
"V223","0.222000","1.266294","1.318407"
"V224","0.223000","1.260161","1.319663"
"V225","0.224000","1.255511","1.318818"
"V226","0.225000","1.252390","1.315764"
"V227","0.226000","1.250783","1.310542"
"V228","0.227000","1.250620","1.303341"
"V229","0.228000","1.251768","1.294454"
"V230","0.229000","1.253993","1.284345"
"V231","0.230000","1.257015","1.273530"
"V232","0.231000","1.260536","1.262501"
"V233","0.232000","1.264239","1.251729"
"V234","0.233000","1.267790","1.241657"
"V235","0.234000","1.270841","1.232704"
"V236","0.235000","1.273106","1.225144"
"V237","0.236000","1.274345","1.219091"
"V238","0.237000","1.274393","1.214561"
"V239","0.238000","1.273162","1.211470"
"V240","0.239000","1.270648","1.209638"
"V241","0.240000","1.266929","1.208783"
"V242","0.241000","1.262152","1.208555"
"V243","0.242000","1.256528","1.208616"
"V244","0.243000","1.250346","1.208614"
"V245","0.24400","1.24388","1.20826"
"V246","0.245000","1.237387","1.207343"
"V247","0.246000","1.231104","1.205722"
"V248","0.247000","1.225250","1.203334"
"V249","0.248000","1.219993","1.200179"
"V250","0.249000","1.215382","1.196382"
"V251","0.250000","1.211396","1.192123"
"V252","0.251000","1.207948","1.187576"
"V253","0.252000","1.204888","1.182913"
"V254","0.253000","1.202001","1.178298"
"V255","0.254000","1.199010","1.173889"
"V256","0.255000","1.195644","1.169774"
"V257","0.256000","1.191607","1.165921"
"V258","0.257000","1.186648","1.162245"
"V259","0.258000","1.180583","1.158610"
"V260","0.259000","1.173305","1.154832"
"V261","0.260000","1.164773","1.150675"
"V262","0.261000","1.155019","1.145867"
"V263","0.262000","1.144187","1.140193"
"V264","0.263000","1.132543","1.133456"
"V265","0.264000","1.120397","1.125550"
"V266","0.265000","1.108090","1.116468"
"V267","0.266000","1.095996","1.106303"
"V268","0.267000","1.084522","1.095244"
"V269","0.268000","1.074072","1.083564"
"V270","0.269000","1.064965","1.071655"
"V271","0.270000","1.057472","1.059995"
"V272","0.271000","1.051773","1.049037"
"V273","0.272000","1.047952","1.039211"
"V274","0.273000","1.046002","1.030920"
"V275","0.274000","1.045821","1.024543"
"V276","0.275000","1.047242","1.020356"
"V277","0.276000","1.049980","1.018455"
"V278","0.277000","1.053710","1.018823"
"V279","0.27800","1.05811","1.02132"
"V280","0.279000","1.062858","1.025688"
"V281","0.280000","1.067632","1.031549"
"V282","0.281000","1.072116","1.038414"
"V283","0.282000","1.076079","1.045785"
"V284","0.283000","1.079379","1.053097"
"V285","0.284000","1.081941","1.059842"
"V286","0.285000","1.083767","1.065594"
"V287","0.286000","1.084933","1.070018"
"V288","0.287000","1.085590","1.072859"
"V289","0.288000","1.085944","1.073953"
"V290","0.289000","1.086223","1.073303"
"V291","0.290000","1.086688","1.071059"
"V292","0.291000","1.087569","1.067428"
"V293","0.292000","1.089057","1.062668"
"V294","0.293000","1.091306","1.057090"
"V295","0.294000","1.094432","1.051057"
"V296","0.295000","1.098499","1.044926"
"V297","0.296000","1.103471","1.038961"
"V298","0.297000","1.109252","1.033373"
"V299","0.298000","1.115698","1.028281"
"V300","0.299000","1.122624","1.023716"
"V301","0.300000","1.129794","1.019616"
"V302","0.301000","1.136933","1.015833"
"V303","0.302000","1.143766","1.012181"
"V304","0.303000","1.150019","1.008388"
"V305","0.304000","1.155439","1.004198"
"V306","0.3050000","1.1598122","0.9994071"
"V307","0.306000","1.162965","0.993864"
"V308","0.3070000","1.1647631","0.9874703"
"V309","0.3080000","1.1651125","0.9801821"
"V310","0.3090000","1.1639712","0.9720786"
"V311","0.3100000","1.1613527","0.9633755"
"V312","0.3110000","1.1573014","0.9543391"
"V313","0.3120000","1.1518898","0.9452814"
"V314","0.3130000","1.1452191","0.9365596"
"V315","0.3140000","1.1374189","0.9285761"
"V316","0.3150000","1.1286399","0.9217399"
"V317","0.316000","1.119032","0.916374"
"V318","0.3170000","1.1087524","0.9127514"
"V319","0.3180000","1.0979627","0.9110371"
"V320","0.3190000","1.0868242","0.9112853"
"V321","0.3200000","1.0755001","0.9134401"
"V322","0.3210000","1.0641553","0.9173354"
"V323","0.3220000","1.0529553","0.9227267"
"V324","0.3230000","1.0420795","0.9292386"
"V325","0.3240000","1.0317110","0.9364472"
"V326","0.3250000","1.0220303","0.9439464"
"V327","0.3260000","1.0132150","0.9513478"
"V328","0.3270000","1.0054399","0.9582807"
"V329","0.3280000","0.9988751","0.9643950"
"V330","0.3290000","0.9936586","0.9694460"
"V331","0.3300000","0.9899066","0.9733222"
"V332","0.3310000","0.9876902","0.9759971"
"V333","0.3320000","0.9870273","0.9775312"
"V334","0.3330000","0.9878821","0.9780722"
"V335","0.3340000","0.9901659","0.9778546"
"V336","0.3350000","0.9937391","0.9771812"
"V337","0.3360000","0.9983966","0.9763519"
"V338","0.3370000","1.0038606","0.9756968"
"V339","0.3380000","1.0098275","0.9754916"
"V340","0.3390000","1.0159709","0.9759487"
"V341","0.3400000","1.0219415","0.9772173"
"V342","0.3410000","1.0273675","0.9793842"
"V343","0.3420000","1.0318814","0.9824734"
"V344","0.3430000","1.0351648","0.9863929"
"V345","0.3440000","1.0369307","0.9909759"
"V346","0.345000","1.036964","0.996037"
"V347","0.346000","1.035123","1.001373"
"V348","0.347000","1.031336","1.006762"
"V349","0.348000","1.025608","1.011966"
"V350","0.349000","1.018005","1.016784"
"V351","0.350000","1.008695","1.021089"
"V352","0.351000","0.997898","1.024808"
"V353","0.3520000","0.9858643","1.0279330"
"V354","0.3530000","0.9728745","1.0305181"
"V355","0.3540000","0.9592399","1.0326825"
"V356","0.3550000","0.9452976","1.0346038"
"V357","0.3560000","0.9313559","1.0364751"
"V358","0.3570000","0.9177059","1.0385370"
"V359","0.3580000","0.9046001","1.0410021"
"V360","0.3590000","0.8922428","1.0440395"
"V361","0.3600000","0.8807907","1.0477744"
"V362","0.3610000","0.8703525","1.0522887"
"V363","0.3620000","0.8609929","1.0576176"
"V364","0.3630000","0.8527313","1.0636980"
"V365","0.3640000","0.8455422","1.0703796"
"V366","0.3650000","0.8393873","1.0774727"
"V367","0.3660000","0.8342172","1.0847497"
"V368","0.3670000","0.8299716","1.0919451"
"V369","0.368000","0.826579","1.098756"
"V370","0.3690000","0.8239632","1.1048753"
"V371","0.3700000","0.8220601","1.1100409"
"V372","0.3710000","0.8208046","1.1140162"
"V373","0.372000","0.820127","1.116635"
"V374","0.3730000","0.8199523","1.1177990"
"V375","0.3740000","0.8202011","1.1174821"
"V376","0.3750000","0.8207892","1.1157253"
"V377","0.3760000","0.8216248","1.1126322"
"V378","0.3770000","0.8225942","1.1084033"
"V379","0.3780000","0.8235772","1.1032788"
