"","V1","V2","V3"
"V1","0","2","2"
"V2","0.001000","1.997553","1.997607"
"V3","0.002000","1.995010","1.995229"
"V4","0.003000","1.992372","1.992865"
"V5","0.004000","1.989640","1.990515"
"V6","0.005000","1.986814","1.988179"
"V7","0.006000","1.983895","1.985857"
"V8","0.007000","1.980882","1.983549"
"V9","0.008000","1.977778","1.981256"
"V10","0.009000","1.974582","1.978976"
"V11","0.010000","1.971295","1.976710"
"V12","0.011000","1.967920","1.974458"
"V13","0.012000","1.964456","1.972221"
"V14","0.013000","1.960904","1.969996"
"V15","0.014000","1.957267","1.967786"
"V16","0.015000","1.953546","1.965589"
"V17","0.016000","1.949741","1.963406"
"V18","0.017000","1.945855","1.961237"
"V19","0.018000","1.941889","1.959081"
"V20","0.019000","1.937845","1.956938"
"V21","0.020000","1.933725","1.954809"
"V22","0.021000","1.929529","1.952693"
"V23","0.022000","1.925261","1.950590"
"V24","0.023000","1.920923","1.948501"
"V25","0.024000","1.916515","1.946424"
"V26","0.025000","1.912041","1.944361"
"V27","0.026000","1.907503","1.942310"
"V28","0.027000","1.902903","1.940272"
"V29","0.028000","1.898243","1.938247"
"V30","0.029000","1.893526","1.936235"
"V31","0.030000","1.888754","1.934236"
"V32","0.031000","1.883929","1.932249"
"V33","0.032000","1.879054","1.930274"
"V34","0.033000","1.874131","1.928312"
"V35","0.034000","1.869163","1.926362"
"V36","0.035000","1.864154","1.924425"
"V37","0.036000","1.859104","1.922500"
"V38","0.037000","1.854018","1.920587"
"V39","0.038000","1.848897","1.918687"
"V40","0.039000","1.843745","1.916799"
"V41","0.040000","1.838565","1.914922"
"V42","0.041000","1.833359","1.913058"
"V43","0.042000","1.828130","1.911206"
"V44","0.043000","1.822881","1.909365"
"V45","0.044000","1.817615","1.907537"
"V46","0.045000","1.812335","1.905721"
"V47","0.046000","1.807044","1.903917"
"V48","0.047000","1.801745","1.902124"
"V49","0.048000","1.796441","1.900344"
"V50","0.049000","1.791134","1.898575"
"V51","0.050000","1.785828","1.896818"
"V52","0.051000","1.780525","1.895074"
"V53","0.052000","1.775228","1.893341"
"V54","0.053000","1.769941","1.891620"
"V55","0.054000","1.764666","1.889911"
"V56","0.055000","1.759406","1.888215"
"V57","0.056000","1.754164","1.886530"
"V58","0.057000","1.748943","1.884858"
"V59","0.058000","1.743745","1.883198"
"V60","0.059000","1.738573","1.881550"
"V61","0.060000","1.733432","1.879914"
"V62","0.061000","1.728322","1.878291"
"V63","0.062000","1.723247","1.876680"
"V64","0.063000","1.718210","1.875082"
"V65","0.064000","1.713213","1.873496"
"V66","0.065000","1.708258","1.871923"
"V67","0.066000","1.703350","1.870363"
"V68","0.067000","1.698489","1.868816"
"V69","0.068000","1.693680","1.867282"
"V70","0.069000","1.688923","1.865761"
"V71","0.070000","1.684222","1.864253"
"V72","0.071000","1.679580","1.862759"
"V73","0.072000","1.674997","1.861278"
"V74","0.073000","1.670478","1.859811"
"V75","0.074000","1.666023","1.858357"
"V76","0.075000","1.661636","1.856918"
"V77","0.076000","1.657317","1.855492"
"V78","0.077000","1.653070","1.854081"
"V79","0.078000","1.648897","1.852684"
"V80","0.079000","1.644799","1.851302"
"V81","0.080000","1.640777","1.849934"
"V82","0.081000","1.636835","1.848581"
"V83","0.082000","1.632974","1.847242"
"V84","0.083000","1.629196","1.845919"
"V85","0.084000","1.625502","1.844611"
"V86","0.085000","1.621893","1.843319"
"V87","0.086000","1.618373","1.842042"
"V88","0.087000","1.614941","1.840780"
"V89","0.088000","1.611600","1.839535"
"V90","0.089000","1.608350","1.838306"
"V91","0.090000","1.605193","1.837092"
"V92","0.091000","1.602131","1.835895"
"V93","0.092000","1.599163","1.834715"
"V94","0.093000","1.596292","1.833551"
"V95","0.094000","1.593519","1.832404"
"V96","0.095000","1.590843","1.831273"
"V97","0.096000","1.588267","1.830160"
"V98","0.097000","1.585790","1.829064"
"V99","0.098000","1.583414","1.827986"
"V100","0.099000","1.581139","1.826925"
"V101","0.100000","1.578965","1.825881"
"V102","0.101000","1.576894","1.824856"
"V103","0.102000","1.574924","1.823848"
"V104","0.103000","1.573058","1.822858"
"V105","0.104000","1.571294","1.821886"
"V106","0.105000","1.569633","1.820932"
"V107","0.106000","1.568076","1.819996"
"V108","0.107000","1.566621","1.819079"
"V109","0.108000","1.565269","1.818181"
"V110","0.10900","1.56402","1.81730"
"V111","0.110000","1.562874","1.816439"
"V112","0.111000","1.561830","1.815596"
"V113","0.112000","1.560887","1.814772"
"V114","0.113000","1.560046","1.813967"
"V115","0.114000","1.559306","1.813181"
"V116","0.115000","1.558666","1.812414"
"V117","0.116000","1.558126","1.811666"
"V118","0.117000","1.557685","1.810937"
"V119","0.118000","1.557341","1.810227"
"V120","0.119000","1.557094","1.809536"
"V121","0.120000","1.556944","1.808864"
"V122","0.121000","1.556887","1.808212"
"V123","0.122000","1.556924","1.807578"
"V124","0.123000","1.557054","1.806964"
"V125","0.124000","1.557274","1.806369"
"V126","0.125000","1.557584","1.805793"
"V127","0.126000","1.557982","1.805236"
"V128","0.127000","1.558467","1.804699"
"V129","0.128000","1.559037","1.804180"
"V130","0.12900","1.55969","1.80368"
"V131","0.130000","1.560425","1.803200"
"V132","0.131000","1.561241","1.802738"
"V133","0.132000","1.562134","1.802295"
"V134","0.133000","1.563104","1.801870"
"V135","0.134000","1.564149","1.801465"
"V136","0.135000","1.565266","1.801077"
"V137","0.136000","1.566454","1.800709"
"V138","0.137000","1.567710","1.800358"
"V139","0.138000","1.569032","1.800026"
"V140","0.139000","1.570418","1.799712"
"V141","0.140000","1.571867","1.799416"
"V142","0.141000","1.573374","1.799138"
"V143","0.142000","1.574939","1.798877"
"V144","0.143000","1.576558","1.798634"
"V145","0.144000","1.578229","1.798409"
"V146","0.14500","1.57995","1.79820"
"V147","0.146000","1.581717","1.798009"
"V148","0.147000","1.583529","1.797834"
"V149","0.148000","1.585383","1.797677"
"V150","0.149000","1.587276","1.797535"
"V151","0.150000","1.589206","1.797410"
"V152","0.151000","1.591170","1.797301"
"V153","0.152000","1.593165","1.797207"
"V154","0.153000","1.595189","1.797129"
"V155","0.154000","1.597237","1.797067"
"V156","0.155000","1.599309","1.797019"
"V157","0.156000","1.601400","1.796986"
"V158","0.157000","1.603508","1.796968"
"V159","0.158000","1.605631","1.796964"
"V160","0.159000","1.607765","1.796973"
"V161","0.160000","1.609907","1.796997"
"V162","0.161000","1.612056","1.797033"
"V163","0.162000","1.614208","1.797083"
"V164","0.163000","1.616360","1.797145"
"V165","0.164000","1.618509","1.797220"
"V166","0.165000","1.620654","1.797306"
"V167","0.166000","1.622791","1.797404"
"V168","0.167000","1.624918","1.797514"
"V169","0.168000","1.627031","1.797634"
"V170","0.169000","1.629128","1.797764"
"V171","0.170000","1.631207","1.797905"
"V172","0.171000","1.633264","1.798055"
"V173","0.172000","1.635298","1.798214"
"V174","0.173000","1.637305","1.798382"
"V175","0.174000","1.639282","1.798558"
"V176","0.175000","1.641228","1.798742"
"V177","0.176000","1.643139","1.798934"
"V178","0.177000","1.645013","1.799132"
"V179","0.178000","1.646848","1.799337"
"V180","0.179000","1.648641","1.799548"
"V181","0.180000","1.650390","1.799764"
"V182","0.181000","1.652093","1.799984"
"V183","0.182000","1.653747","1.800210"
"V184","0.183000","1.655351","1.800439"
"V185","0.184000","1.656902","1.800671"
"V186","0.185000","1.658398","1.800905"
"V187","0.186000","1.659838","1.801142"
"V188","0.187000","1.661218","1.801380"
"V189","0.188000","1.662537","1.801619"
"V190","0.189000","1.663795","1.801858"
"V191","0.190000","1.664988","1.802097"
"V192","0.191000","1.666115","1.802334"
"V193","0.192000","1.667174","1.802570"
"V194","0.193000","1.668165","1.802804"
"V195","0.194000","1.669086","1.803034"
"V196","0.195000","1.669936","1.803260"
"V197","0.196000","1.670712","1.803482"
"V198","0.197000","1.671415","1.803699"
"V199","0.198000","1.672042","1.803910"
"V200","0.199000","1.672594","1.804115"
"V201","0.200000","1.673068","1.804312"
"V202","0.201000","1.673465","1.804501"
"V203","0.202000","1.673783","1.804681"
"V204","0.203000","1.674021","1.804852"
"V205","0.204000","1.674180","1.805012"
"V206","0.205000","1.674258","1.805161"
"V207","0.206000","1.674255","1.805298"
"V208","0.207000","1.674170","1.805422"
"V209","0.208000","1.674004","1.805533"
"V210","0.209000","1.673755","1.805629"
"V211","0.210000","1.673424","1.805710"
"V212","0.211000","1.673011","1.805775"
"V213","0.212000","1.672515","1.805823"
"V214","0.213000","1.671936","1.805854"
"V215","0.214000","1.671275","1.805866"
"V216","0.215000","1.670532","1.805859"
"V217","0.216000","1.669708","1.805832"
"V218","0.217000","1.668802","1.805783"
"V219","0.218000","1.667816","1.805712"
"V220","0.219000","1.666750","1.805619"
"V221","0.220000","1.665605","1.805501"
"V222","0.221000","1.664382","1.805359"
"V223","0.222000","1.663080","1.805192"
"V224","0.223000","1.661702","1.804998"
"V225","0.224000","1.660248","1.804776"
"V226","0.225000","1.658718","1.804527"
"V227","0.226000","1.657115","1.804249"
"V228","0.227000","1.655438","1.803940"
"V229","0.228000","1.653689","1.803601"
"V230","0.229000","1.651868","1.803231"
"V231","0.230000","1.649978","1.802828"
"V232","0.231000","1.648020","1.802393"
"V233","0.232000","1.645994","1.801923"
"V234","0.233000","1.643902","1.801419"
"V235","0.234000","1.641745","1.800879"
"V236","0.235000","1.639525","1.800302"
"V237","0.236000","1.637243","1.799689"
"V238","0.237000","1.634900","1.799037"
"V239","0.238000","1.632499","1.798347"
"V240","0.239000","1.630041","1.797617"
"V241","0.240000","1.627528","1.796848"
"V242","0.241000","1.624960","1.796037"
"V243","0.242000","1.622341","1.795184"
"V244","0.243000","1.619672","1.794289"
"V245","0.244000","1.616954","1.793350"
"V246","0.245000","1.614190","1.792367"
"V247","0.246000","1.611381","1.791340"
"V248","0.247000","1.608531","1.790267"
"V249","0.248000","1.605639","1.789148"
"V250","0.249000","1.602708","1.787982"
"V251","0.250000","1.599739","1.786769"
"V252","0.251000","1.596735","1.785509"
"V253","0.252000","1.593697","1.784200"
"V254","0.253000","1.590628","1.782841"
"V255","0.254000","1.587529","1.781433"
"V256","0.255000","1.584403","1.779975"
"V257","0.256000","1.581250","1.778467"
"V258","0.257000","1.578075","1.776907"
"V259","0.258000","1.574877","1.775295"
"V260","0.259000","1.571659","1.773632"
"V261","0.260000","1.568423","1.771916"
"V262","0.261000","1.565171","1.770147"
"V263","0.262000","1.561905","1.768324"
"V264","0.263000","1.558626","1.766448"
"V265","0.264000","1.555336","1.764519"
"V266","0.265000","1.552038","1.762535"
"V267","0.266000","1.548732","1.760496"
"V268","0.267000","1.545421","1.758403"
"V269","0.268000","1.542106","1.756255"
"V270","0.269000","1.538789","1.754051"
"V271","0.270000","1.535472","1.751792"
"V272","0.271000","1.532156","1.749478"
"V273","0.272000","1.528843","1.747109"
"V274","0.273000","1.525535","1.744683"
"V275","0.274000","1.522234","1.742202"
"V276","0.275000","1.518940","1.739665"
"V277","0.276000","1.515656","1.737072"
"V278","0.277000","1.512383","1.734423"
"V279","0.278000","1.509123","1.731719"
"V280","0.279000","1.505877","1.728958"
"V281","0.280000","1.502647","1.726142"
"V282","0.281000","1.499435","1.723271"
"V283","0.282000","1.496241","1.720344"
"V284","0.283000","1.493067","1.717361"
"V285","0.284000","1.489914","1.714324"
"V286","0.285000","1.486784","1.711231"
"V287","0.286000","1.483678","1.708084"
"V288","0.287000","1.480596","1.704883"
"V289","0.288000","1.477541","1.701627"
"V290","0.289000","1.474512","1.698318"
"V291","0.290000","1.471513","1.694955"
"V292","0.291000","1.468542","1.691540"
"V293","0.292000","1.465602","1.688072"
"V294","0.293000","1.462694","1.684552"
"V295","0.294000","1.459818","1.680980"
"V296","0.295000","1.456975","1.677357"
"V297","0.296000","1.454165","1.673684"
"V298","0.297000","1.451391","1.669960"
"V299","0.298000","1.448652","1.666187"
"V300","0.299000","1.445949","1.662365"
"V301","0.300000","1.443283","1.658495"
"V302","0.301000","1.440654","1.654577"
"V303","0.302000","1.438063","1.650612"
"V304","0.30300","1.43551","1.64660"
"V305","0.304000","1.432995","1.642543"
"V306","0.30500","1.43052","1.63844"
"V307","0.306000","1.428084","1.634294"
"V308","0.307000","1.425688","1.630103"
"V309","0.308000","1.423332","1.625871"
"V310","0.309000","1.421016","1.621596"
"V311","0.31000","1.41874","1.61728"
"V312","0.311000","1.416505","1.612924"
"V313","0.312000","1.414310","1.608529"
"V314","0.313000","1.412155","1.604096"
"V315","0.314000","1.410040","1.599624"
"V316","0.315000","1.407966","1.595117"
"V317","0.316000","1.405932","1.590574"
"V318","0.317000","1.403938","1.585996"
"V319","0.318000","1.401983","1.581385"
"V320","0.319000","1.400068","1.576741"
"V321","0.320000","1.398192","1.572066"
"V322","0.321000","1.396355","1.567360"
"V323","0.322000","1.394556","1.562625"
"V324","0.323000","1.392795","1.557861"
"V325","0.324000","1.391072","1.553069"
"V326","0.325000","1.389384","1.548252"
"V327","0.326000","1.387732","1.543410"
"V328","0.327000","1.386116","1.538543"
"V329","0.328000","1.384533","1.533654"
"V330","0.329000","1.382984","1.528744"
"V331","0.330000","1.381467","1.523813"
"V332","0.331000","1.379982","1.518864"
"V333","0.332000","1.378528","1.513896"
"V334","0.333000","1.377104","1.508911"
"V335","0.334000","1.375708","1.503911"
"V336","0.335000","1.374340","1.498897"
"V337","0.336000","1.372999","1.493869"
"V338","0.337000","1.371683","1.488830"
"V339","0.338000","1.370392","1.483779"
"V340","0.339000","1.369125","1.478720"
"V341","0.340000","1.367879","1.473652"
"V342","0.341000","1.366654","1.468577"
"V343","0.342000","1.365449","1.463496"
"V344","0.343000","1.364263","1.458411"
"V345","0.344000","1.363093","1.453322"
"V346","0.345000","1.361939","1.448232"
"V347","0.346000","1.360800","1.443141"
"V348","0.347000","1.359673","1.438050"
"V349","0.348000","1.358558","1.432961"
"V350","0.349000","1.357452","1.427875"
"V351","0.350000","1.356355","1.422793"
"V352","0.351000","1.355265","1.417717"
"V353","0.352000","1.354180","1.412648"
"V354","0.353000","1.353099","1.407588"
"V355","0.354000","1.352019","1.402536"
"V356","0.355000","1.350940","1.397496"
"V357","0.356000","1.349859","1.392467"
"V358","0.357000","1.348776","1.387453"
"V359","0.358000","1.347687","1.382452"
"V360","0.359000","1.346591","1.377468"
"V361","0.360000","1.345489","1.372501"
"V362","0.361000","1.344377","1.367552"
"V363","0.362000","1.343255","1.362622"
"V364","0.363000","1.342119","1.357713"
"V365","0.364000","1.340969","1.352826"
"V366","0.365000","1.339803","1.347963"
"V367","0.366000","1.338619","1.343123"
"V368","0.367000","1.337416","1.338309"
"V369","0.368000","1.336191","1.333522"
