"","V1","V2"
"V246","0.245","0.245"
"V247","0.246","0.246"
"V248","0.247","0.247"
"V249","0.248","0.248"
"V250","0.249","0.249"
"V251","0.25","0.25"
"V252","0.251","0.251"
"V253","0.252","0.252"
"V254","0.253","0.253"
"V255","0.254","0.254"
"V256","0.255","0.255"
"V257","0.256","0.256"
"V258","0.257","0.257"
"V259","0.258","0.258"
"V260","0.259","0.259"
"V261","0.26","0.26"
"V262","0.261","0.261"
"V263","0.262","0.262"
"V264","0.263","0.263"
"V265","0.264","0.264"
"V266","0.265","0.265"
"V267","0.266","0.266"
"V268","0.267","0.267"
"V269","0.268","0.268"
"V270","0.269","0.269"
"V271","0.27","0.27"
"V272","0.271","0.271"
"V273","0.272","0.272"
"V274","0.273","0.273"
"V275","0.274","0.274"
"V276","0.275","0.275"
"V277","0.276","0.276"
"V278","0.277","0.277"
"V279","0.278","0.278"
"V280","0.279","0.279"
"V281","0.28","0.28"
"V282","0.281","0.281"
"V283","0.282","0.282"
"V284","0.283","0.283"
"V285","0.284","0.284"
"V286","0.285","0.285"
"V287","0.286","0.286"
"V288","0.287","0.287"
"V289","0.288","0.288"
"V290","0.289","0.289"
"V291","0.29","0.29"
"V292","0.291","0.291"
"V293","0.292","0.292"
"V294","0.293","0.293"
"V295","0.294","0.294"
"V296","0.295","0.295"
"V297","0.296","0.296"
"V298","0.297","0.297"
"V299","0.298","0.298"
"V300","0.299","0.299"
"V301","0.3","0.3"
"V302","0.301","0.301"
"V303","0.302","0.302"
"V304","0.303","0.303"
"V305","0.304","0.304"
"V306","0.305","0.305"
"V307","0.306","0.306"
"V308","0.307","0.307"
"V309","0.308","0.308"
"V310","0.309","0.309"
"V311","0.31","0.31"
"V312","0.311","0.311"
"V313","0.312","0.312"
"V314","0.313","0.313"
"V315","0.314","0.314"
"V316","0.315","0.315"
"V317","0.316","0.316"
"V318","0.317","0.317"
"V319","0.318","0.318"
"V320","0.319","0.319"
"V321","0.32","0.32"
"V322","0.321","0.321"
"V323","0.322","0.322"
"V324","0.323","0.323"
"V325","0.324","0.324"
"V326","0.325","0.325"
"V327","0.326","0.326"
"V328","0.327","0.327"
"V329","0.328","0.328"
"V330","0.329","0.329"
"V331","0.33","0.33"
"V332","0.331","0.331"
"V333","0.332","0.332"
"V334","0.333","0.333"
"V335","0.334","0.334"
"V336","0.335","0.335"
"V337","0.336","0.336"
"V338","0.337","0.337"
"V339","0.338","0.338"
"V340","0.339","0.339"
"V341","0.34","0.34"
"V342","0.341","0.341"
"V343","0.342","0.342"
"V344","0.343","0.343"
"V345","0.344","0.344"
"V346","0.345","0.345"
"V347","0.346","0.346"
"V348","0.347","0.347"
"V349","0.348","0.348"
"V350","0.349","0.349"
"V351","0.35","0.35"
"V352","0.351","0.351"
"V353","0.352","0.352"
"V354","0.353","0.353"
"V355","0.354","0.354"
"V356","0.355","0.355"
"V357","0.356","0.356"
"V358","0.357","0.357"
"V359","0.358","0.358"
"V360","0.359","0.359"
"V361","0.36","0.36"
"V362","0.361","0.361"
"V363","0.362","0.362"
"V364","0.363","0.363"
"V365","0.364","0.364"
"V366","0.365","0.365"
