"","V1","V2","V3"
"V119"," 0.1180000","-0.5540495","-0.5942860"
"V120"," 0.1190000","-0.5547340","-0.5946574"
"V121"," 0.1200000","-0.5554195","-0.5950086"
"V122"," 0.1210000","-0.5561058","-0.5953394"
"V123"," 0.1220000","-0.5567929","-0.5956500"
"V124"," 0.1230000","-0.5574806","-0.5959404"
"V125"," 0.1240000","-0.5581688","-0.5962108"
"V126"," 0.1250000","-0.5588573","-0.5964611"
"V127"," 0.1260000","-0.5595461","-0.5966915"
"V128"," 0.1270000","-0.5602349","-0.5969022"
"V129"," 0.1280000","-0.5609237","-0.5970932"
"V130"," 0.1290000","-0.5616123","-0.5972646"
"V131"," 0.1300000","-0.5623005","-0.5974168"
"V132"," 0.1310000","-0.5629883","-0.5975497"
"V133"," 0.1320000","-0.5636755","-0.5976636"
"V134"," 0.1330000","-0.5643620","-0.5977587"
"V135"," 0.1340000","-0.5650476","-0.5978352"
"V136"," 0.1350000","-0.5657322","-0.5978933"
"V137"," 0.1360000","-0.5664156","-0.5979332"
"V138"," 0.1370000","-0.5670977","-0.5979552"
"V139"," 0.1380000","-0.5677784","-0.5979596"
"V140"," 0.1390000","-0.5684576","-0.5979466"
"V141"," 0.1400000","-0.5691350","-0.5979165"
"V142"," 0.1410000","-0.5698105","-0.5978696"
"V143"," 0.1420000","-0.5704841","-0.5978061"
"V144"," 0.1430000","-0.5711555","-0.5977266"
"V145"," 0.1440000","-0.5718246","-0.5976311"
"V146"," 0.1450000","-0.5724912","-0.5975202"
"V147"," 0.1460000","-0.5731553","-0.5973942"
"V148"," 0.1470000","-0.5738167","-0.5972533"
"V149"," 0.1480000","-0.5744751","-0.5970982"
"V150"," 0.1490000","-0.5751305","-0.5969290"
"V151"," 0.1500000","-0.5757828","-0.5967463"
"V152"," 0.1510000","-0.5764317","-0.5965503"
"V153"," 0.1520000","-0.5770773","-0.5963413"
"V154"," 0.1530000","-0.5777193","-0.5961198"
"V155"," 0.1540000","-0.5783576","-0.5958861"
"V156"," 0.1550000","-0.5789921","-0.5956407"
"V157"," 0.1560000","-0.5796226","-0.5953840"
"V158"," 0.1570000","-0.5802491","-0.5951165"
"V159"," 0.1580000","-0.5808714","-0.5948385"
"V160"," 0.1590000","-0.5814893","-0.5945507"
"V161"," 0.1600000","-0.5821028","-0.5942533"
"V162"," 0.1610000","-0.5827117","-0.5939468"
"V163"," 0.1620000","-0.5833159","-0.5936316"
"V164"," 0.1630000","-0.5839153","-0.5933082"
"V165"," 0.1640000","-0.5845098","-0.5929770"
"V166"," 0.1650000","-0.5850993","-0.5926384"
"V167"," 0.1660000","-0.5856836","-0.5922928"
"V168"," 0.1670000","-0.5862626","-0.5919407"
"V169"," 0.1680000","-0.5868364","-0.5915825"
"V170"," 0.1690000","-0.5874047","-0.5912186"
"V171"," 0.1700000","-0.5879674","-0.5908494"
"V172"," 0.1710000","-0.5885245","-0.5904753"
"V173"," 0.1720000","-0.5890759","-0.5900968"
"V174"," 0.1730000","-0.5896214","-0.5897143"
"V175"," 0.1740000","-0.5901611","-0.5893281"
"V176"," 0.1750000","-0.5906948","-0.5889387"
"V177"," 0.1760000","-0.5912224","-0.5885465"
"V178"," 0.1770000","-0.5917438","-0.5881519"
"V179"," 0.1780000","-0.5922591","-0.5877553"
"V180"," 0.1790000","-0.5927680","-0.5873571"
"V181"," 0.1800000","-0.5932706","-0.5869577"
"V182"," 0.1810000","-0.5937668","-0.5865576"
"V183"," 0.1820000","-0.5942564","-0.5861570"
"V184"," 0.1830000","-0.5947395","-0.5857565"
"V185"," 0.1840000","-0.5952160","-0.5853563"
"V186"," 0.1850000","-0.5956857","-0.5849570"
"V187"," 0.1860000","-0.5961488","-0.5845588"
"V188"," 0.1870000","-0.5966051","-0.5841623"
"V189"," 0.1880000","-0.5970545","-0.5837677"
"V190"," 0.1890000","-0.5974970","-0.5833753"
"V191"," 0.1900000","-0.5979327","-0.5829853"
"V192"," 0.1910000","-0.5983614","-0.5825983"
"V193"," 0.1920000","-0.5987831","-0.5822144"
"V194"," 0.1930000","-0.5991978","-0.5818340"
"V195"," 0.1940000","-0.5996054","-0.5814574"
"V196"," 0.1950000","-0.6000060","-0.5810849"
"V197"," 0.1960000","-0.6003995","-0.5807168"
"V198"," 0.1970000","-0.6007859","-0.5803534"
"V199"," 0.1980000","-0.6011652","-0.5799950"
"V200"," 0.1990000","-0.6015374","-0.5796417"
"V201"," 0.2000000","-0.6019023","-0.5792939"
"V202"," 0.2010000","-0.6022602","-0.5789517"
"V203"," 0.2020000","-0.6026109","-0.5786155"
"V204"," 0.2030000","-0.6029544","-0.5782854"
"V205"," 0.2040000","-0.6032908","-0.5779616"
"V206"," 0.2050000","-0.6036200","-0.5776444"
"V207"," 0.2060000","-0.6039421","-0.5773339"
"V208"," 0.2070000","-0.6042571","-0.5770303"
"V209"," 0.2080000","-0.6045650","-0.5767337"
"V210"," 0.2090000","-0.6048658","-0.5764443"
"V211"," 0.2100000","-0.6051595","-0.5761623"
"V212"," 0.2110000","-0.6054462","-0.5758877"
"V213"," 0.2120000","-0.6057258","-0.5756208"
"V214"," 0.2130000","-0.6059985","-0.5753615"
"V215"," 0.2140000","-0.6062643","-0.5751101"
"V216"," 0.2150000","-0.6065231","-0.5748666"
"V217"," 0.2160000","-0.6067751","-0.5746311"
"V218"," 0.2170000","-0.6070202","-0.5744036"
"V219"," 0.2180000","-0.6072585","-0.5741843"
"V220"," 0.2190000","-0.6074902","-0.5739731"
"V221"," 0.2200000","-0.6077151","-0.5737701"
