"","V1","V2","V3"
"V1"," 0.0","-0.5","-0.5"
"V2"," 0.0010000","-0.5001061","-0.5002411"
"V3"," 0.0020000","-0.5001194","-0.5006784"
"V4"," 0.0030000","-0.5000338","-0.5013278"
"V5"," 0.0040000","-0.4998464","-0.5021998"
"V6"," 0.0050000","-0.4995571","-0.5032986"
"V7"," 0.0060000","-0.4991685","-0.5046229"
"V8"," 0.0070000","-0.4986862","-0.5061654"
"V9"," 0.0080000","-0.4981186","-0.5079130"
"V10"," 0.0090000","-0.4974769","-0.5098468"
"V11"," 0.0100000","-0.4967752","-0.5119421"
"V12"," 0.0110000","-0.4960304","-0.5141684"
"V13"," 0.0120000","-0.4952622","-0.5164892"
"V14"," 0.0130000","-0.4944925","-0.5188616"
"V15"," 0.0140000","-0.4937408","-0.5212269"
"V16"," 0.0150000","-0.4930261","-0.5235222"
"V17"," 0.0160000","-0.4923615","-0.5256889"
"V18"," 0.0170000","-0.4917531","-0.5276729"
"V19"," 0.0180000","-0.4912003","-0.5294243"
"V20"," 0.0190000","-0.4906989","-0.5309004"
"V21"," 0.0200000","-0.4902261","-0.5320762"
"V22"," 0.0210000","-0.4897494","-0.5329412"
"V23"," 0.0220000","-0.4892362","-0.5334982"
"V24"," 0.0230000","-0.4886535","-0.5337629"
"V25"," 0.0240000","-0.4879683","-0.5337643"
"V26"," 0.0250000","-0.4871474","-0.5335444"
"V27"," 0.0260000","-0.4861573","-0.5331584"
"V28"," 0.0270000","-0.4849684","-0.5326691"
"V29"," 0.0280000","-0.4835745","-0.5321326"
"V30"," 0.029000","-0.481982","-0.531611"
"V31"," 0.0300000","-0.4802104","-0.5311537"
"V32"," 0.0310000","-0.4782930","-0.5307954"
"V33"," 0.0320000","-0.4762771","-0.5305566"
"V34"," 0.0330000","-0.4742235","-0.5304433"
"V35"," 0.0340000","-0.4722066","-0.5304473"
"V36"," 0.0350000","-0.4702970","-0.5305505"
"V37"," 0.0360000","-0.4685790","-0.5306988"
"V38"," 0.0370000","-0.4671320","-0.5308294"
"V39"," 0.0380000","-0.4660180","-0.5308819"
"V40"," 0.0390000","-0.4652817","-0.5307979"
"V41"," 0.0400000","-0.4649505","-0.5305219"
"V42"," 0.0410000","-0.4650346","-0.5300001"
"V43"," 0.0420000","-0.4655269","-0.5291815"
"V44"," 0.043000","-0.466405","-0.528024"
"V45"," 0.0440000","-0.4676139","-0.5265233"
"V46"," 0.0450000","-0.4690730","-0.5246945"
"V47"," 0.0460000","-0.4707002","-0.5225671"
"V48"," 0.0470000","-0.4724126","-0.5201848"
"V49"," 0.0480000","-0.4741263","-0.5176057"
"V50"," 0.0490000","-0.4757567","-0.5149023"
"V51"," 0.0500000","-0.4772182","-0.5121616"
"V52"," 0.0510000","-0.4784324","-0.5094737"
"V53"," 0.0520000","-0.4793558","-0.5069148"
"V54"," 0.0530000","-0.4799624","-0.5045612"
"V55"," 0.0540000","-0.4802425","-0.5024725"
"V56"," 0.0550000","-0.4802024","-0.5006905"
"V57"," 0.0560000","-0.4798647","-0.4992401"
"V58"," 0.0570000","-0.4792682","-0.4981286"
"V59"," 0.0580000","-0.4784680","-0.4973459"
"V60"," 0.0590000","-0.4775305","-0.4968684"
"V61"," 0.0600000","-0.4765127","-0.4966620"
"V62"," 0.0610000","-0.4754782","-0.4966691"
"V63"," 0.0620000","-0.4744819","-0.4968366"
"V64"," 0.0630000","-0.4735679","-0.4971185"
"V65"," 0.0640000","-0.4727696","-0.4974759"
"V66"," 0.0650000","-0.4721093","-0.4978771"
"V67"," 0.0660000","-0.4715988","-0.4982976"
"V68"," 0.0670000","-0.4712394","-0.4987196"
"V69"," 0.0680000","-0.4710265","-0.4991376"
"V70"," 0.0690000","-0.4709377","-0.4995824"
"V71"," 0.0700000","-0.4709490","-0.5000868"
"V72"," 0.0710000","-0.4710401","-0.5006795"
"V73"," 0.0720000","-0.4711941","-0.5013843"
"V74"," 0.0730000","-0.4713975","-0.5022207"
"V75"," 0.0740000","-0.4716404","-0.5032036"
"V76"," 0.0750000","-0.4719163","-0.5043435"
"V77"," 0.0760000","-0.4722217","-0.5056431"
"V78"," 0.0770000","-0.4725653","-0.5070653"
"V79"," 0.0780000","-0.4729638","-0.5085462"
"V80"," 0.0790000","-0.4734298","-0.5100170"
"V81"," 0.0800000","-0.4739718","-0.5114037"
"V82"," 0.0810000","-0.4745940","-0.5126278"
"V83"," 0.0820000","-0.4752965","-0.5136056"
"V84"," 0.0830000","-0.4760751","-0.5142485"
"V85"," 0.0840000","-0.4769217","-0.5144639"
"V86"," 0.0850000","-0.4778237","-0.5141868"
"V87"," 0.0860000","-0.4787509","-0.5133881"
"V88"," 0.0870000","-0.4796709","-0.5120605"
"V89"," 0.0880000","-0.4805538","-0.5102235"
"V90"," 0.0890000","-0.4813728","-0.5079245"
"V91"," 0.0900000","-0.4821037","-0.5052377"
"V92"," 0.0910000","-0.4827252","-0.5022649"
"V93"," 0.092000","-0.483219","-0.499135"
