"","V1","V2","V3"
"V1","0","2","2"
"V2","0.001000","1.997601","1.997601"
"V3","0.002000","1.995202","1.995202"
"V4","0.003000","1.992803","1.992803"
"V5","0.004000","1.990406","1.990406"
"V6","0.005000","1.988009","1.988009"
"V7","0.006000","1.985613","1.985613"
"V8","0.007000","1.983217","1.983217"
"V9","0.008000","1.980822","1.980822"
"V10","0.009000","1.978428","1.978428"
"V11","0.010000","1.976034","1.976034"
"V12","0.011000","1.973641","1.973641"
"V13","0.012000","1.971248","1.971248"
"V14","0.013000","1.968857","1.968857"
"V15","0.014000","1.966465","1.966465"
"V16","0.015000","1.964075","1.964075"
"V17","0.016000","1.961685","1.961685"
"V18","0.017000","1.959296","1.959296"
"V19","0.018000","1.956907","1.956907"
"V20","0.019000","1.954519","1.954519"
"V21","0.020000","1.952132","1.952132"
"V22","0.021000","1.949745","1.949745"
"V23","0.022000","1.947359","1.947359"
"V24","0.023000","1.944974","1.944974"
"V25","0.024000","1.942589","1.942589"
"V26","0.025000","1.940205","1.940205"
"V27","0.026000","1.937821","1.937821"
"V28","0.027000","1.935438","1.935438"
"V29","0.028000","1.933056","1.933056"
"V30","0.029000","1.930675","1.930675"
"V31","0.030000","1.928294","1.928294"
"V32","0.031000","1.925913","1.925913"
"V33","0.032000","1.923534","1.923534"
"V34","0.033000","1.921155","1.921155"
"V35","0.034000","1.918776","1.918776"
"V36","0.035000","1.916399","1.916399"
"V37","0.036000","1.914022","1.914022"
"V38","0.037000","1.911645","1.911645"
"V39","0.038000","1.909269","1.909269"
"V40","0.039000","1.906894","1.906894"
"V41","0.040000","1.904519","1.904519"
"V42","0.041000","1.902146","1.902146"
"V43","0.042000","1.899772","1.899772"
"V44","0.0430","1.8974","1.8974"
"V45","0.044000","1.895028","1.895028"
"V46","0.045000","1.892656","1.892656"
"V47","0.046000","1.890286","1.890286"
"V48","0.047000","1.887915","1.887915"
"V49","0.048000","1.885546","1.885546"
"V50","0.049000","1.883177","1.883177"
"V51","0.050000","1.880809","1.880809"
"V52","0.051000","1.878442","1.878442"
"V53","0.052000","1.876075","1.876075"
"V54","0.053000","1.873708","1.873708"
"V55","0.054000","1.871343","1.871343"
"V56","0.055000","1.868978","1.868978"
"V57","0.056000","1.866613","1.866613"
"V58","0.05700","1.86425","1.86425"
"V59","0.058000","1.861887","1.861887"
"V60","0.059000","1.859524","1.859524"
"V61","0.060000","1.857162","1.857162"
"V62","0.061000","1.854801","1.854801"
"V63","0.062000","1.852441","1.852441"
"V64","0.063000","1.850081","1.850081"
